	A1	A2	A3	B1	B2	B3	C1	C2	C3	D1	D2	D3	E1	E2	E3	F1	F2	F3
OTU_2048	0	0	0	0	1	1	0	1	0	0	2	0	0	0	1	1	0	1
OTU_2520	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	1	0	0
OTU_3534	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0
OTU_1705	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	1	0	0
OTU_1830	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1
OTU_2161	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0
OTU_3166	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0
OTU_1980	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	4	0
OTU_22	174	383	148	33	36	35	138	185	260	130	113	24	246	169	273	112	117	118
OTU_419	0	2	3	0	7	0	0	2	6	8	15	3	16	3	15	18	10	13
OTU_2097	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1
OTU_3350	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
OTU_121	43	53	30	6	10	8	37	51	78	35	27	9	81	42	105	30	32	29
OTU_2996	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	1	2
OTU_38	161	435	137	114	142	84	233	408	547	197	239	61	316	215	369	158	150	137
OTU_557	5	3	1	0	2	1	2	6	4	7	8	0	7	10	14	10	3	9
OTU_2595	1	3	0	0	0	0	4	1	3	2	1	0	3	2	3	0	1	1
OTU_3649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1
OTU_3094	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0
OTU_528	2	2	0	0	0	0	1	0	0	0	0	1	17	13	19	2	2	1
OTU_1348	3	6	0	1	1	0	1	3	4	2	0	0	0	0	2	0	0	0
OTU_2679	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_973	0	0	0	0	2	1	1	0	3	2	1	0	0	0	2	2	3	5
OTU_3676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
OTU_1130	1	1	1	0	0	0	1	1	3	6	3	0	7	5	9	0	3	1
OTU_1530	0	1	0	0	2	1	0	0	0	2	1	0	5	2	4	4	0	1
OTU_2410	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0
OTU_2280	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	1	0
OTU_3130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1
OTU_306	3	11	1	14	23	5	8	17	15	18	7	3	2	5	5	21	6	7
OTU_1260	2	6	0	2	1	0	0	0	1	0	2	0	1	1	3	0	2	4
OTU_936	1	0	0	0	3	0	1	1	0	0	1	0	0	1	0	0	3	7
OTU_3369	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
OTU_179	3	10	5	12	20	11	19	61	60	7	23	5	31	12	48	24	12	21
OTU_207	22	38	17	12	45	21	14	38	43	41	107	6	169	79	171	97	109	98
OTU_2497	5	0	1	2	2	1	1	1	0	2	1	1	5	2	16	11	8	14
OTU_1012	1	5	0	0	1	1	1	2	2	1	3	1	2	2	1	2	2	0
OTU_1014	2	1	3	0	2	1	2	2	2	1	2	0	3	2	7	2	0	1
OTU_3067	0	1	1	1	2	0	2	8	5	0	5	2	5	6	9	7	5	4
OTU_828	3	4	1	0	3	1	3	2	0	1	0	0	7	1	7	3	4	3
OTU_1239	0	0	0	1	2	4	0	0	0	4	5	2	1	0	1	9	3	3
OTU_962	0	0	0	0	0	1	1	4	2	2	0	0	2	4	7	0	0	0
OTU_2248	0	1	0	0	0	0	1	0	0	0	0	0	1	1	8	0	2	1
OTU_1861	1	0	2	0	0	0	0	0	0	2	1	0	2	0	0	1	0	0
OTU_2102	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	3	2	0
OTU_117	40	123	40	53	120	53	56	99	102	108	179	35	82	27	71	139	138	116
OTU_1287	5	5	1	7	7	7	4	5	4	9	12	3	5	3	3	5	4	2
OTU_141	12	28	13	42	57	38	16	46	37	28	40	6	12	7	41	25	36	29
OTU_221	1	4	3	22	37	26	5	11	3	16	23	7	6	2	8	38	25	36
OTU_227	9	14	5	49	70	47	5	24	9	22	46	17	4	4	11	27	16	33
OTU_620	1	3	2	7	7	2	1	2	10	4	15	1	6	2	6	14	8	14
OTU_2002	0	5	0	15	9	7	2	5	3	5	11	2	4	2	1	4	3	5
OTU_550	5	17	11	1	9	3	5	24	18	2	4	1	0	1	2	4	1	0
OTU_3723	2	5	1	1	5	3	4	7	5	4	4	0	0	0	4	8	3	2
OTU_1788	1	4	0	2	0	5	1	1	1	5	3	0	0	2	2	5	2	6
OTU_946	0	2	2	1	1	1	2	0	2	1	0	2	4	1	1	4	3	2
OTU_905	1	1	0	0	2	3	0	0	3	2	2	0	2	6	4	6	2	3
OTU_2571	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	2	1	0
OTU_2782	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2	2
OTU_1756	0	0	0	0	1	1	0	0	0	0	1	0	0	0	2	0	0	0
OTU_2640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
OTU_1823	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	1	1	0
OTU_2237	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0
OTU_3795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2
OTU_113	14	39	25	49	61	40	34	69	68	35	56	7	27	22	41	57	52	50
OTU_119	56	73	27	97	95	78	74	98	86	107	81	30	82	55	86	95	84	109
OTU_148	14	36	11	52	101	48	40	107	84	33	53	5	39	25	43	73	71	78
OTU_160	30	33	18	43	36	58	52	80	75	40	44	25	29	23	25	41	52	72
