	RX01	RX02	RX03	RX04	RX05	RX06	RX10	RX11	RX12	RX13	RX14	RX15	RX19	RX20	RX21	RX22	RX23	RX24	RX28	RX29	RX30	RX31	RX32	RX33	compounds
COMP01	84.57041083	81.05387187	78.32594508	13.87716997	12.17089649	10.43476344	66.15240742	22.52685903	37.108564	32.92189758	19.59791641	27.08890653	116.7863205	201.4086194	164.1373698	17.58118905	16.46371331	17.05947721	5.212	5.69	9.4	7.354818335	7.288240495	6.648625635	Lactic_acid
COMP02	0	0	0	51.20759475	47.90828081	51.77668031	0	0	0	23.78040227	24.96942239	22.59138216	0	0	0	51.29905146	51.40137276	59.28412549	0	0	0	0	0	0	Malonic_acid
COMP03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.31532151	16.08108758	14.54955543	0	0	0	0	0	0	Fumaric_acid
COMP04	88.278862	100.3826316	87.24281425	111.807832	96.46373852	81.94745676	8.807549776	7.818742211	6.859946824	88.14171298	96.44858597	72.8192707	86.29642116	93.89105552	90.5230141	100.9599565	106.2570596	118.5977341	5.2154	3.5454	6.5487	3.807549776	4.818742211	6.859946824	Malic_acid
COMP05	0	0	0	18.60888653	18.23181319	18.31888613	0	0	0	9.614207477	10.09491785	9.133497103	0	0	0	19.21803085	22.83717407	16.97837174	0	0	0	0	0	0	Aminobutyric_acid
COMP06	63.07449792	54.17699145	46.56164411	212.663049	197.0024848	153.5969023	17.13970789	14.45894254	12.46042036	39.95412076	27.32703023	21.38896726	66.21783312	88.87663769	76.6885121	293.7393002	148.4785893	119.5726432	7.443353085	7.815520739	7.071185431	6.473499982	6.136390454	6.764546661	Citric_acid
COMP07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.850438	13.4929599	12.2079161	0	0	0	0	0	0	Ribose
COMP08	17.95945501	17.39266807	16.89	25.07329894	37.45479331	36.9588	5.481960539	6.190102033	4.159161067	20.49124633	20.63044912	21.80645949	17.97222594	18.29722307	17.1609009	33.02644144	30.02689767	44.32695524	0	0	0	0	0	0	Fructose_
COMP09	0	0	0	31.84751703	27.10802861	28.52357241	6.3188	8.454	5.24858	14.41919088	14.47312816	14.37277968	0	0	0	28.78009317	28.79892966	33.39349553	0	0	0	0	0	0	Pinitol
COMP10	63.04460354	61.45310973	52.89162698	64.90807037	70.15224954	64.87805476	28.52431734	27.23343787	31.72046436	42.99443649	41.95429901	43.95698916	53.39187027	56.81608669	54.31790791	67.87542301	72.6704347	78.36398059	36.61674471	35.70724659	35.76094618	36.30969617	36.11808718	34.52859114	Glucose
