Query_id	tax
total_1000061	k__Bacteria;p__Proteobacteria
total_10001616	k__Bacteria
total_10001803	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_10002036	k__Bacteria
total_10002291	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_100023	k__Bacteria
total_10002342	k__Bacteria
total_10002756	k__Bacteria;p__Proteobacteria
total_10003215	k__Bacteria;p__Proteobacteria
total_10003400	k__Bacteria
total_10003483	k__Bacteria
total_10003534	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10003606	k__Bacteria
total_10003876	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
total_10003906	k__Bacteria
total_1000435	k__Bacteria
total_10004383	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_1000463	k__Bacteria
total_10004672	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10004711	k__Bacteria
total_1000483	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria
total_10004884	k__Bacteria;p__Proteobacteria
total_10005785	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
total_10006305	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria
total_10006591	k__Bacteria
total_1000694	k__Bacteria
total_10007028	k__Bacteria
total_10007336	k__Bacteria
total_10007764	k__Bacteria
total_10008345	Unclassified
total_10008832	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria
total_10009115	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10009545	k__Bacteria
total_10009696	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas_lipolytica
total_10009831	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium
total_10010513	k__Bacteria
total_10011083	k__Bacteria;p__Firmicutes
total_10011084	Unclassified
total_10011434	k__Bacteria;p__Proteobacteria
total_10011815	k__Bacteria
total_10012862	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae
total_1001321	k__Bacteria
total_10013219	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_1001322	k__Bacteria
total_1001330	k__Bacteria;p__Latescibacteria;c__Unclassified;o__Unclassified;f__Unclassified;g__Unclassified;s__Latescibacteria_bacterium_DG_63
total_10013331	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae
total_10014142	k__Bacteria
total_10014209	k__Bacteria
total_10014572	k__Bacteria
total_10015343	k__Bacteria
total_10015497	k__Bacteria
total_10015644	k__Bacteria
total_10015798	k__Bacteria;p__Proteobacteria
total_10016149	k__Bacteria
total_10016483	k__Bacteria
total_10017012	k__Bacteria
total_10017080	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10017954	k__Bacteria
total_10018128	k__Bacteria
total_10018376	Unclassified
total_10018530	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_1001921	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_1001950	k__Bacteria
total_1001951	k__Bacteria
total_10020184	k__Bacteria
total_10020378	k__Bacteria;p__Proteobacteria
