Query_id	TC_number
total_10000403	3.D.4.5.1
total_10003357	2.A.7.22.2
total_10006085	3.A.5.1.1
total_10011469	3.A.1.105.1
total_10017147	2.A.6.4.1
total_10017474	2.A.6.3.1
total_10018749	3.D.2.2.1
total_10030488	3.D.3.2.1
total_10036990	3.D.2.2.1
total_10037323	3.A.5.1.1
total_10042562	3.D.1.2.1
total_10056609	3.D.3.4.1
total_10058029	3.A.2.1.1
total_10059767	3.D.2.2.1
total_10064197	1.B.33.1.4
total_10069568	1.B.12.4.1
total_10074042	3.D.1.6.3
total_10078015	3.D.2.2.1
total_10078926	3.D.1.5.1
total_10078928	3.D.1.5.1
total_10079459	1.B.12.4.1
total_10084199	9.B.35.2.1
total_10085359	3.D.4.5.1
total_10090093	3.A.1.14.19
total_10091132	3.A.2.1.3
total_10091596	3.D.1.2.1
total_10092951	9.B.24.2.2
total_10093138	2.A.6.2.4
total_10093718	3.A.5.1.1
total_10096523	4.C.1.1.7
total_10102089	3.D.2.2.1
total_10104274	3.D.2.2.1
total_10104275	3.D.2.2.1
total_10111690	8.A.21.2.1
total_10111840	3.D.1.2.1
total_10112849	3.A.5.1.1
total_10113	1.B.12.4.1
total_10116815	1.B.12.4.1
total_101187	1.A.30.2.2
total_10119314	1.B.12.4.1
total_10127526	9.B.71.1.1
total_10127939	3.D.1.5.1
total_10138606	2.A.6.4.1
total_10143148	2.A.6.2.23
total_10146024	3.D.1.2.1
total_1014618	8.A.21.2.1
total_10153980	1.C.82.1.1
total_101596	3.D.1.6.1
total_10165646	3.D.1.2.1
total_10170425	3.A.5.1.2
total_10172249	9.B.100.1.1
total_1017294	1.C.82.1.1
total_10180150	8.A.21.2.1
total_10187174	3.D.4.4.1
total_10190095	2.A.7.22.2
total_10190757	8.A.21.2.1
total_10192868	3.E.2.1.1
total_10193701	3.B.1.1.3
total_10196691	2.A.6.4.1
total_10198584	2.A.7.22.2
total_10204850	3.D.1.1.1
total_10209682	2.A.64.1.1
total_10211287	3.D.1.5.1
total_10212492	3.A.2.3.1
total_10215693	3.D.4.5.1
total_102198	1.B.12.4.1
total_1022335	1.A.11.1.4
total_10225096	3.D.2.2.1
total_1022954	3.A.1.5.20
total_10230409	3.D.1.2.1
total_10237780	2.A.53.9.2
total_10238463	1.B.12.4.1
total_10240435	3.D.1.2.1
total_10240437	3.D.1.2.1
total_10245261	8.A.21.2.1
total_10246253	3.D.1.7.1
total_10246797	3.D.1.3.1
total_1024755	3.D.1.5.1
total_10248980	3.D.1.2.1
total_10256466	3.E.2.1.1
total_10258552	1.A.22.1.4
total_10258668	3.D.4.8.1
total_10263020	1.B.12.4.1
