Query_id	Subject_class
total_1000004	CE11
total_1000004	CE11
total_1000004	CE11
total_1000004	CE11
total_1000004	CE11
total_10000524	GH95
total_10001575	GH28
total_10002080	GH128
total_10002095	CBM9
total_1000323	GT2
total_10003346	GT2
total_10003475	CBM50
total_10003475	CBM50
total_10003475	CBM50
total_1000352	GH29
total_10004959	GH76
total_10006173	GH76
total_10006862	CBM50
total_10007584	GH1
total_10007584	GH1
total_10007584	GH1
total_10007584	GH1
total_10007584	GH1
total_10007584	GH1
total_10007584	GH1
total_10007584	GH1
total_10010170	CE16
total_10010351	AA3
total_10010388	CBM50
total_10010442	GH43
total_10010767	GT2
total_10010767	GT2
total_10010767	GT2
total_10010767	GT2
total_10010767	GT2
total_10011733	GH4
total_10013398	GT4
total_1001341	GT41
total_10014297	GT41
total_10015074	GT4
total_10015074	GT4
total_10015074	GT4
total_10015074	GT4
total_10015074	GT4
total_10015074	GT4
total_10015417	GH65
total_10015417	GH65
total_10015417	GH65
total_10016875	GT1
total_10017474	GH78
total_10017926	GT2
total_10019271	GH130
total_10019271	GH130
total_10019271	GH130
total_1002132	CE11
total_1002132	CE11
total_1002132	CE11
total_1002132	CE11
total_10021779	GT28
total_10021779	GT28
total_10021779	GT28
total_10023975	AA1
total_10025800	GT2
total_10026773	GH67
total_10026773	GH67
total_10026773	GH67
total_10026773	GH67
total_10026773	GH67
total_10028094	CBM5
total_10029511	GH10
total_10029511	CBM13
total_10031355	CBM2
total_10032159	GH13
total_10032335	GH28
total_10036404	GT47
total_10037071	CBM50
total_10037071	GH18
total_10038377	GH28
total_10038784	GT28
total_10039090	CBM32
total_10039090	GH87
total_10041088	GT51
total_10041480	CBM5
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
total_10041759	AA3
