Query_id	Ko_id
total_10000403	K02299
total_10002840	K03481
total_10008661	K02907
total_1000957	K01507
total_10010104	K08484
total_10010184	K09017
total_10011293	K15371
total_10011767	K01907
total_10012408	K01126
total_10016201	K02113
total_100170	K02115
total_1001852	K11105
total_10019318	K02115
total_10022183	K01792
total_10022336	K00265
total_10022792	K01247
total_10023975	K00368
total_10026619	K02081
total_10026843	K08164
total_1002871	K01726
total_10029213	K15019
total_10029429	K01847
total_10030488	K00411
total_10031314	K01719
total_10031699	K00823
total_10031700	K01039
total_10031918	K00342
total_10032858	K10107
total_10032916	K00124
total_10033612	K00329
total_10036032	K02112
total_10036614	K03291
total_10037848	K00330
total_1003890	K04561
total_1003891	K13771
total_10038930	K03705
total_10039374	K07738
total_1004157	K09013
total_10042606	K02114
total_10043146	K03577
total_10043474	K11473
total_10043509	K05847
total_1004382	K00249
total_10047157	K03041
total_10047333	K00338
total_10047334	K00337
total_10050074	K03566
total_10052243	K01118
total_10053239	K00169
total_10054225	K00330
total_10056610	K03888
total_1005662	K02006
total_10057403	K02110
total_10057513	K02108
total_10059890	K02058
total_10067227	K01849
total_1006996	K01580
total_10070391	K01659
total_1007177	K05817
total_10072817	K06204
total_10072857	K01814
total_10076345	K00762
total_10078025	K04800
total_10078072	K00616
total_10078251	K01424
total_10084029	K01476
total_10085359	K02299
total_10085360	K02298
total_10085396	K01507
total_10086541	K01873
total_10089249	K02834
total_10089647	K02322
total_10091614	K01905
total_10093133	K15371
total_1009718	K00265
total_10098365	K02188
total_10098682	K03702
total_10101031	K06075
total_10101281	K01872
total_10101364	K03426
total_10103054	K01507
total_10103261	K05903
total_10104966	K05364
total_10107009	K01785
total_10107018	K02342
total_10107035	K11755
total_10107046	K02837
total_10107048	K07814
total_10108544	K02112
total_1010916	K01483
total_10109324	K00121
total_10109326	K06153
total_10109328	K01759
total_10109340	K08483
total_10111070	K00020
total_10111374	K03047
total_10111641	K05587
total_10116871	K08301
total_10118394	K15371
total_10118399	K15371
total_1012020	K13798
total_1012361	K01715
total_10127940	K00334
total_10128879	K15633
total_1013003	K03625
total_10130609	K00872
total_10131441	K15864
total_1013425	K08172
total_1013495	K03564
total_10137308	K01623
total_10138263	K02429
total_10140136	K02340
total_10142621	K03521
total_10142809	K00339
total_10145217	K00376
total_10145294	K03521
total_10147712	K01719
total_10147733	K01580
total_10148304	K11473
total_10149736	K03703
total_10152641	K01241
total_10152847	K01174
total_10153121	K00265
total_10154997	K00309
total_10155149	K01835
total_10155693	K02298
total_101569	K01952
total_10159250	K00605
total_10159590	K00286
total_10160724	K03417
total_1016311	K01623
total_10164364	K03955
total_10165726	K00467
total_10168283	K00265
total_10170403	K01744
total_1017235	K02777
total_1017426	K03417
total_10177072	K02040
total_10180875	K02885
total_10183386	K00338
total_10184972	K00265
total_10186134	K00616
total_10187883	K12979
total_10188306	K00335
total_1018892	K03789
total_1019108	K07032
total_10192868	K00412
total_1019329	K03733
total_10193706	K03234
total_10194495	K00262
total_10195010	K02990
total_101984	K01501
total_10198584	K15633
total_10199130	K15371
total_1019941	K00218
total_10201521	K03470
total_10202031	K04072
total_10206014	K10552
total_10206015	K02529
total_10208524	K04015
total_10209170	K00426
total_10211303	K00850
total_10213087	K01682
total_10221910	K01458
total_10222187	K03502
total_10222200	K00939
total_10222215	K01673
total_10222223	K07458
total_10222233	K06211
total_10222239	K00946
total_10222245	K00368
total_10222842	K01120
total_10222993	K00425
total_10225049	K00148
total_10226913	K01468
total_10227251	K02996
total_1022768	K02274
total_10228115	K03704
total_10228991	K00262
total_10229291	K02299
total_10230127	K00906
total_10230409	K00339
total_10232651	K00097
total_10235989	K02274
total_10238631	K01803
total_10239262	K01420
total_10242573	K11531
total_10243658	K01222
total_10243700	K01803
total_10245041	K14961
total_10247424	K01424
total_10248538	K01241
total_10249027	K01507
total_10250617	K01920
total_10252132	K13652
total_1025484	K15371
total_1025696	K10231
total_10260143	K01079
total_102642	K02347
total_10264640	K00013
total_10266390	K03891
total_10266818	K01792
total_10267759	K11472
total_10267829	K00265
total_10268367	K02108
total_10271641	K11263
total_10274013	K01659
total_10274539	K00372
total_10275437	K00338
total_10277373	K02276
total_1027772	K03703
total_1027975	K09823
total_102824	K15634
total_10286279	K08289
total_10288160	K08684
total_10288561	K10914
total_10289428	K00375
total_10290071	K01785
total_10291576	K06019
total_10292591	K02552
total_10292967	K00605
total_10293235	K02916
total_10293862	K14440
total_10294115	K07738
total_10297057	K01810
total_10297748	K13953
total_10301735	K10027
total_10302957	K01455
total_10304226	K02276
total_10305749	K06134
total_10306418	K14267
total_1030878	K00850
total_10308887	K02015
total_10309095	K09759
total_10309426	K03404
total_1030988	K13542
total_1030993	K02194
total_10310727	K00411
total_10311743	K00266
total_1031353	K00404
total_10314965	K03891
total_10316893	K02528
total_10322698	K09694
total_10322963	K02990
total_10323574	K02274
total_10324372	K01424
total_10324596	K02874
total_10326838	K01478
