Query_id	Ko_id
total_10000712	K00333
total_10001244	K00575
total_10001285	K12583
total_10001301	K00313
total_10001589	K08884
total_10001616	K01366
total_10001837	K02849
total_10001909	K01953
total_10002632	K11688
total_10002693	K04792
total_10002968	K01744
total_10003215	K08651
total_10003264	K03694
total_10003287	K00995
total_10003347	K02849
total_1000345	K00748
total_10003633	K12993
total_10003906	K02666
total_10004278	K02004
total_10004696	K13668
total_10004711	K02450
total_10004809	K07669
total_10004835	K02004
total_10004837	K01744
total_10004884	K03530
total_10005371	K00256
total_10005443	K00936
total_10005444	K03413
total_10005562	K01414
total_10005565	K07693
total_10005581	K01623
total_10005605	K02844
total_10005712	K07793
total_10005713	K07794
total_10005947	K06937
total_10006000	K11527
total_10006049	K04774
total_1000609	K02280
total_10006193	K02045
total_10006305	K02658
total_1000654	K02028
total_10006582	K13282
total_10006591	K03768
total_10006597	K07302
total_10006703	K03761
total_10006954	K02018
total_10007546	K02004
total_10007605	K10002
total_1000781	K02841
total_10007876	K00313
total_10008143	K07762
total_1000839	K03529
total_10008592	K06200
total_10008601	K02486
total_10008899	K07263
total_10009455	K07795
total_10009565	K07010
total_10009640	K01711
total_10009656	K00616
total_10009719	K13687
total_10009842	K09691
total_10009843	K09690
total_10009855	K08995
total_10010017	K02527
total_10010061	K02671
total_10010513	K07010
total_1001071	K00342
total_10010746	K00358
total_10010858	K05832
total_10011516	K04757
total_10011705	K12941
total_10012290	K02653
total_10012845	K02481
total_10013	K02057
total_10013153	K00425
total_1001321	K01358
total_1001322	K03544
total_10013487	K02489
total_10013581	K02037
total_10013852	K01419
total_10013853	K03667
total_10014142	K01054
total_10014572	K01419
total_10014834	K09690
total_10015116	K04065
total_10015420	K10543
total_10015500	K07010
total_10015556	K04561
total_10016430	K02301
total_10016732	K05367
total_10016746	K02014
total_10016774	K03168
total_10017012	K03723
total_10017134	K00240
total_10017285	K02033
total_10017321	K05365
total_10017453	K12370
total_10017643	K00021
total_10017667	K01424
total_10018016	K11688
total_10018360	K15658
total_10018861	K00411
total_10018867	K03761
total_10018926	K15660
total_10019888	K01740
total_10020263	K07263
total_10020739	K02053
total_10020804	K00548
total_10020821	K02020
total_10020934	K11357
total_10021013	K11621
total_10021065	K03770
total_10021188	K01507
total_10021190	K15634
total_10021194	K02036
total_10021195	K02038
total_10021196	K02037
total_10021209	K01783
total_1002128	K07793
total_10021549	K00405
total_10021550	K00376
total_10021826	K03770
total_10021830	K11103
total_10022202	K06865
total_1002241	K02280
total_10022709	K07709
total_10022978	K09474
total_10023005	K02012
total_10023601	K13889
total_10023602	K13890
total_10023943	K08191
total_1002409	K01266
total_10024454	K02419
total_10024720	K03072
total_10024788	K02664
total_10024858	K09477
total_10024899	K00376
total_1002498	K00265
total_10025277	K02037
total_10025294	K01337
total_10025335	K11745
total_10025346	K01286
total_10025559	K08177
total_10026212	K02077
total_10026649	K02065
total_10026718	K06152
total_1002682	K02670
