Query_id	Subject_class
total_10002080	GH128
total_10010351	AA3
total_10020320	CBM27
total_10020320	CBM27
total_10020320	CBM35
total_10043415	GT51
total_10050823	GH28
total_10056404	GT2
total_10062530	GH39
total_10062530	GH39
total_10062530	GH39
total_10062530	GH39
total_10062530	GH39
total_10062530	GH39
total_10062530	GH39
total_10062832	GT4
total_10062832	GT4
total_10062832	GT2
total_10062832	GT4
total_10062832	GT2
total_10070062	CE9
total_10070062	CE9
total_10072021	GH109
total_10076345	GH47
total_10077192	GH32
total_10077192	GH32
total_10077192	GH32
total_10077599	CBM57
total_10077599	CBM57
total_10077599	CBM51
total_10078400	GH36
total_10078400	GH36
total_10082392	GH2
total_10094066	CBM20
total_10096643	GH2
total_10102594	GH76
total_10104926	GH51
total_10106232	GH102
total_10106232	GH102
total_10106232	GH102
total_10107009	GH43
total_10107011	GH5
total_10107011	GH5
total_1011023	GH128
total_1011023	GH128
total_1011023	GH128
total_1011023	CBM42
total_1011023	CBM42
total_10112670	GT41
total_10112670	GT2
total_1011297	GT28
total_10116944	GH18
total_10122751	AA3
total_10122751	AA3
total_10125803	GT4
total_10125803	GT4
total_10125803	GT4
total_10125803	GT4
total_10125803	GT4
total_10125803	GT4
total_10125803	GT4
total_10125803	GT4
total_10125803	GT4
total_10125803	GT2
total_10125803	GT2
total_10125803	GT2
total_10126559	CBM2
total_10127515	GT51
total_10127515	GH92
total_10127845	GT2
total_10127845	GT2
total_10127845	GT2
total_10127845	GT2
total_10127845	GT2
total_1012814	GT51
total_1012814	GT51
total_1012814	GT51
total_10132550	GH18
total_10132689	CBM20
total_10140284	PL9
total_10140284	CE3
total_10140284	PL9
total_1015822	GH13
total_10166999	GT41
total_10166999	GT41
total_10166999	GT41
total_10166999	GT41
total_10166999	GT2
total_10179667	CBM2
total_10185729	GH130
total_10188131	GT29
total_10190285	GT1
total_10196296	GH28
total_1019760	PL4
total_1019835	CBM13
total_10198818	GH47
total_10201144	CBM10
total_10201144	CBM2
total_1020928	GH95
total_1020928	GH1
total_10222209	GT1
total_10222209	GT1
total_10223408	GT4
total_10223410	CE14
total_10225577	GH1
total_10225577	GH95
total_10226006	GH3
total_10226006	GH3
total_10227457	GT47
total_10238175	GH1
total_10238175	GH1
total_10238175	GH1
total_10238175	GH1
total_1024183	GH23
total_10243658	GH4
total_10243658	GH4
total_10243658	GH4
total_10243658	GH4
total_10243658	GH4
total_10243658	GH4
total_10243658	GH4
total_10243658	GH4
total_10243658	GH4
total_10243658	GH4
total_10243658	GH4
total_10248997	GH1
total_10248997	GH1
total_10254711	GT51
total_1025696	GH65
total_1025696	GH65
total_1025696	GH65
total_1025696	GH65
total_1025696	GH65
total_1025696	GH65
total_1025696	GH65
total_1025696	GH65
total_1025696	GH65
total_1025696	GH65
total_1025696	GH65
total_1025696	GH65
total_1025696	GH65
total_1025696	GH65
total_1025696	GH65
total_1025696	GH65
total_1025696	GH65
total_1027372	GH2
total_10276512	GH43
total_1028332	GH78
total_10285313	GT20
total_10289967	CBM13
total_10291879	PL9
total_10293107	GT28
total_10298831	GT1
total_1030533	GT51
total_10305588	CBM35
total_10305588	CBM13
total_10305588	GH31
total_10305588	GH31
total_10305588	CBM35
total_10305588	CBM35
total_10305588	GH31
total_10305588	GH31
total_10305588	CBM35
total_10305588	CBM35
total_10305588	GH31
total_10305588	CBM35
total_10305588	GH31
total_10305588	GH31
total_10305588	CBM35
total_10305588	GH31
total_10305588	CBM35
total_10306848	GT4
total_10310349	GT28
total_10310880	GH35
total_10311306	GH35
total_10313141	CBM50
total_10313141	CBM50
total_10321325	GH32
total_10321325	GH32
total_10321325	GH32
total_10323246	CBM42
total_10327462	GH3
total_10329259	GH20
total_10329259	GH20
total_10329259	GH20
total_10329259	GH20
total_10329259	GH20
total_10329259	GH20
total_10330525	GT4
total_1034373	GT4
total_10343757	GT2
total_10343757	GT2
total_10343757	GT2
total_10344040	GT2
total_10345935	GT34
total_10354533	AA4
total_10354533	AA4
total_10354533	AA4
total_10354533	AA4
total_10359281	GT51
total_10360718	GT51
total_10360718	GT51
total_10360718	GT51
total_10368208	GT51
total_10379219	CE4
total_10382194	GT2
total_10385275	GT34
total_1038586	GH4
total_10387718	GT29
total_10398517	CBM50
total_10398517	CBM50
total_10399053	GT4
total_10399053	GT4
total_10399053	GT4
total_10399053	GT4
total_10399053	GT4
total_10399053	GT4
total_10399053	GT4
total_10399053	GT4
total_10399053	GT4
total_10399053	GT4
total_10412009	AA12
total_10412009	AA12
total_1041407	AA3
total_10424101	GH23
total_10424101	GH23
total_10424673	GH2
total_10440399	GH95
total_10440399	GH1
total_10442493	CBM2
total_10442493	GH18
total_10457283	GT82
total_10457283	GT82
total_10457706	GH28
total_10457915	GH43
total_10475348	GH33
total_10477298	GT26
total_10477298	GT26
total_10477298	GT26
total_10477298	GT26
total_10477298	GT26
total_10477298	GT26
total_10477997	GT4
total_10500878	GT41
total_10502057	GH33
total_10511636	CE9
total_10511636	CE9
total_1051882	GH73
total_1051983	GH28
total_10527482	GT29
total_10528977	GT4
total_10528977	GT4
total_10528977	GT4
total_10528977	GT4
total_10528977	GT4
total_10528977	GT4
total_10528977	GT4
total_10529292	GH23
total_10529292	GH23
total_10530952	GH39
total_10539869	GT30
total_10539870	GT30
total_10539870	GT30
total_10539870	GT30
