Query_id	Ko_id
total_10000148	K02945
total_1000025	K01325
total_1000028	K08372
total_1000040	K01465
total_10000403	K02299
total_10000490	K06134
total_10000524	K01278
total_1000061	K05998
total_10000792	K01301
total_10001	K03976
total_10001159	K01653
total_10001188	K03074
total_1000136	K09020
total_10001545	K03821
total_10001674	K02014
total_10001899	K15358
total_10001998	K11293
total_10002290	K01322
total_10002332	K00658
total_1000267	K04096
total_10002722	K07567
total_10002757	K01623
total_10002770	K00760
total_10003367	K00652
total_10003475	K13694
total_10003535	K01876
total_1000355	K01362
total_10003610	K01494
total_10003621	K02033
total_10004276	K07462
total_10004468	K02956
total_1000458	K01653
total_10004678	K05896
total_10004816	K00652
total_10004965	K01271
total_10005111	K03281
total_10005157	K00962
total_10005360	K00525
total_10005556	K02472
total_10005562	K01414
total_10005572	K00821
total_10005721	K01885
total_10005730	K02897
total_10005818	K01610
total_10006085	K01077
total_10006172	K02533
total_10006205	K01679
total_10006333	K00161
total_10006362	K01524
total_10006612	K01610
total_1000673	K00609
total_10007367	K01262
total_10007584	K00067
total_10007622	K00943
total_10007826	K00031
total_10007989	K01415
total_10007998	K02600
total_10008124	K00075
total_10008180	K03546
total_100083	K02963
total_10008375	K00135
total_10008390	K06920
total_100084	K02990
total_10008652	K00088
total_10008661	K02907
total_10008905	K03644
total_1000891	K03558
total_1000892	K01883
total_10009124	K01262
total_1000942	K01518
total_10009510	K00492
total_10009574	K01494
total_10009706	K15451
total_10010099	K03799
total_10010127	K02341
total_10010170	K12686
total_10010215	K01147
total_10010279	K03703
total_10010304	K01259
total_10010351	K00108
total_10010388	K01417
total_1001045	K13049
total_10010547	K02621
total_10010627	K08316
total_10010664	K01092
total_10010940	K03182
total_10011195	K00760
total_10011330	K03575
total_10011733	K00666
total_10011767	K01907
total_10011943	K00634
total_10011956	K05540
total_10012094	K00839
total_10012135	K00554
total_10012324	K01961
total_10012481	K04094
total_1001251	K01112
total_10012786	K01255
total_10012828	K01338
total_1001285	K00798
total_1001309	K01756
total_10013324	K06168
total_10014294	K01803
total_10014514	K03296
total_10014545	K03574
total_10014561	K03437
total_10014667	K01256
total_10014806	K02405
total_10014818	K01465
total_10015034	K01696
total_10015054	K01262
total_10015297	K02448
total_10015530	K03555
total_1001609	K10773
total_10016201	K02113
total_10016333	K00602
total_1001658	K01923
total_10016840	K00135
total_100169	K02111
total_100170	K02115
total_10017045	K00135
total_10017147	K03074
total_1001731	K00059
total_10017433	K02886
total_10017434	K02892
total_10017435	K02926
total_10017474	K03296
total_10017679	K03442
total_10017699	K01872
total_1001770	K06949
total_10017733	K01560
total_1001837	K01754
total_1001853	K00784
total_1001860	K00247
total_10018749	K00325
total_10019052	K03333
total_10019065	K01759
total_10019066	K02488
total_10019086	K01961
total_10019141	K00014
total_1001921	K00135
total_10019495	K05882
total_10019988	K01870
total_10020408	K00016
total_10020540	K02931
total_10020681	K02428
total_10020721	K03186
total_10020843	K02906
total_10020971	K01749
total_10021044	K00286
total_10021276	K00939
total_1002132	K02372
total_10021375	K15726
total_10021509	K00574
total_1002154	K01693
total_10021866	K00013
total_10022053	K02906
total_10022186	K06880
total_10022256	K02952
total_10022357	K03320
total_1002276	K01273
total_10022802	K01689
total_10022836	K01488
total_10023032	K00135
total_10023378	K03568
total_10023605	K00602
total_10023636	K01529
total_1002380	K01409
total_1002381	K03789
total_10023877	K00796
total_10024045	K05970
total_10024136	K07025
total_10024156	K14441
total_10024282	K09458
total_1002495	K08289
total_10024953	K07165
total_10024954	K02014
total_10025047	K00554
total_10025089	K00773
total_10025133	K07185
total_10025134	K06442
total_10025135	K01662
total_10025167	K01610
total_10025266	K00030
total_10025685	K00821
total_10025734	K05788
total_10025800	K11740
total_10026157	K00799
total_10026218	K03701
total_10026272	K02501
total_10026330	K05520
total_10026934	K00282
total_1002706	K03186
total_10027230	K01262
total_10027379	K00120
total_10027525	K01142
total_10027815	K03465
total_10027874	K02315
total_10028	K02014
total_10028094	K08677
total_10028217	K16052
total_10028414	K05788
total_10028473	K02863
total_10028816	K01866
total_10028943	K00826
total_10029012	K02621
total_10029245	K03703
total_10029323	K00161
total_10029511	K00568
total_10029516	K05808
total_10029774	K01867
total_1003009	K00290
total_1003012	K01780
total_1003013	K00103
total_10030488	K00411
total_10030567	K02897
total_10030666	K00826
total_10030907	K01758
total_10030910	K07560
total_10031034	K00314
total_10031043	K03595
total_10031046	K03100
total_10031059	K02338
total_10031070	K00942
total_10031209	K01081
total_10031301	K03750
total_10031314	K01719
total_10031357	K01588
total_10031358	K01589
total_10031383	K01439
total_10031433	K01151
total_10031562	K04744
total_10031620	K00344
total_10031701	K01040
total_10031984	K00336
total_10032056	K00087
total_10032159	K01238
total_10032160	K03699
total_10032210	K02519
total_10032283	K03118
total_10032351	K00257
total_10032485	K02108
total_10032493	K14161
total_10032638	K03543
total_10032790	K00067
total_10032951	K02014
total_1003304	K01870
total_1003307	K03495
total_1003308	K09807
total_10033091	K09457
total_10033124	K01661
total_10033583	K02911
total_10033612	K00329
total_1003376	K01588
total_10034212	K03118
total_10034279	K00029
total_10034695	K06985
total_10034894	K00762
total_10035020	K00215
total_1003506	K00574
total_10035345	K02879
total_10035564	K16052
total_10035587	K00858
total_10035985	K01142
total_10036404	K01939
total_10036431	K06177
total_10036520	K02343
total_100366	K01894
total_10036719	K03072
total_10036737	K03439
total_10036915	K00074
total_10037027	K02343
total_10037071	K14645
total_10037173	K07386
total_1003720	K03215
total_10037320	K03089
total_10037689	K01259
total_10038042	K01924
total_10038261	K01880
total_10038351	K08676
total_10038377	K01868
total_10039022	K02014
total_10039264	K01415
total_10039347	K00282
total_10039879	K00164
total_10039940	K02319
total_1004046	K00088
total_10040710	K03517
total_10040802	K07263
total_10040889	K13013
total_10041088	K00540
total_10041148	K07462
total_10041362	K00799
total_10041414	K02967
total_10041471	K07258
total_10041480	K01081
total_10041654	K01897
total_10041685	K01710
total_10041731	K01784
total_10042104	K02931
total_10042189	K01679
total_10042298	K01269
total_10042562	K00332
total_10042606	K02114
total_1004279	K00602
total_10043030	K07568
total_1004317	K02913
total_10043413	K00652
total_10043508	K01745
total_10043761	K01142
total_1004382	K00249
total_10043925	K15921
total_10043949	K03088
total_1004396	K02533
total_10043973	K00989
total_10043974	K02428
total_10044344	K00121
total_10044462	K00333
total_10044643	K07277
total_10044664	K00239
total_10044665	K00241
total_10044694	K05810
total_1004471	K01644
total_10045024	K01069
total_10045286	K01297
total_10045836	K00684
total_1004588	K15257
total_10046155	K01338
total_10046243	K01955
total_10046324	K01262
total_10046380	K02899
total_10046509	K02601
total_10046579	K03649
total_10046630	K01278
total_10046738	K02946
total_10046739	K02906
total_10046780	K00001
total_1004710	K05896
total_10047333	K00338
total_10047334	K00337
total_1004770	K01356
total_10047730	K03495
total_10047795	K01921
total_10047811	K03595
total_10048166	K02864
total_1004830	K01968
total_10048515	K00336
total_10048833	K03571
total_1004898	K15633
total_10048980	K00329
total_10049527	K06872
total_10049784	K01362
total_10049807	K02014
total_10049825	K06934
total_10049859	K03665
total_1004987	K00658
total_10049951	K01265
total_10050084	K03926
total_10050321	K11263
total_10050452	K08372
total_1005055	K01524
total_10050802	K09883
total_10050822	K07443
total_10050823	K01868
total_10050911	K14584
total_10050912	K00249
total_10051433	K15358
total_10051438	K01439
total_100516	K07095
total_1005162	K02012
total_10051731	K00540
total_100518	K03496
total_10052115	K03074
total_10052278	K07568
total_10052433	K02986
total_10052764	K00626
total_10052902	K01423
total_10052943	K01955
total_10053270	K01726
total_10053409	K00955
total_10053645	K00074
total_10053664	K03092
total_10054553	K02601
total_10054902	K00658
total_10055244	K01029
total_10055324	K02986
total_10055497	K00763
total_10055754	K00614
total_10055770	K03043
total_10055827	K01950
total_10056022	K02982
total_10056023	K02890
total_10056175	K01876
total_10056265	K07455
total_10056270	K02959
total_10056296	K01676
total_10056404	K00698
total_10056485	K04764
total_10056529	K03649
total_10056609	K03887
total_10056610	K03888
total_10056631	K00554
total_10056905	K02427
total_1005691	K01354
total_10057106	K01183
total_10057428	K07462
total_10057545	K03688
total_10057620	K01677
total_10057801	K01273
total_10058123	K03074
total_10058336	K02266
total_10058341	K00826
total_10058785	K01623
total_1005882	K00077
total_10058884	K01262
total_10058928	K01777
total_10059117	K01478
total_10059605	K01945
total_10059620	K04042
total_10059647	K01151
total_10059706	K00257
total_10059745	K00412
total_10059805	K00936
total_10059813	K00175
total_10059815	K03092
total_10059972	K11996
total_10060152	K13481
total_10060463	K11293
total_10060558	K00252
total_10060602	K05539
total_1006071	K12454
total_10061094	K10819
total_10061140	K01151
total_10061224	K01358
total_10061598	K06958
total_10061599	K02793
total_10061669	K03595
total_10062147	K11175
total_10062221	K01872
total_10062292	K02297
total_1006239	K00088
total_10062586	K03231
total_10062888	K01956
total_1006294	K08646
total_10062947	K07566
total_1006297	K01893
total_10063426	K01007
total_1006352	K02992
total_10063544	K14440
total_10063612	K13953
total_10063704	K00568
total_10063717	K03702
total_10063758	K01358
total_10063766	K01759
total_10063852	K00282
total_10063859	K01937
total_10063978	K00756
total_10064233	K06447
total_10064540	K03703
total_10064573	K01515
total_10064627	K03574
total_10064749	K00599
total_10064751	K03183
