Query_id	TC_number
total_1001352	2.A.36.7.1
total_10028473	1.C.82.1.1
total_10062292	3.D.4.5.1
total_10079583	1.A.12.3.1
total_10091112	1.C.82.1.1
total_10112849	3.A.5.1.1
total_10138606	2.A.6.4.1
total_1017294	1.C.82.1.1
total_10273246	1.A.11.1.4
total_10278538	9.B.35.2.1
total_10294946	3.A.1.105.1
total_10308322	3.A.5.1.1
total_10313141	3.A.1.4.1
total_10365356	1.C.82.1.1
total_10368201	8.A.21.2.1
total_1036932	3.B.1.1.2
total_10383525	1.C.82.1.1
total_10549280	2.A.6.4.1
total_10635895	3.A.1.120.1
total_10661986	2.A.96.1.2
total_10676618	1.C.82.1.1
total_10695956	1.C.82.1.1
total_1071016	8.A.21.2.1
total_10714144	1.C.82.1.1
total_1073994	2.A.6.2.16
total_10762946	4.C.1.1.4
total_10828672	1.C.82.1.1
total_10834293	1.C.82.1.1
total_10854117	1.B.14.6.1
total_10868662	3.D.4.5.1
total_10915329	1.C.82.1.1
total_10954112	2.A.7.3.6
total_11008085	2.A.21.4.1
total_1103389	8.A.21.2.1
total_11078671	1.C.82.1.1
total_1109041	2.A.64.3.1
total_11094047	1.C.82.1.1
total_11150657	1.C.82.1.1
total_11220057	3.D.2.2.1
total_11223995	1.C.82.1.1
total_11254394	8.A.5.1.3
total_11294483	9.A.10.2.1
total_11298433	8.A.21.2.1
total_1132052	2.A.55.2.4
total_11350306	2.A.1.6.8
total_11374581	1.C.82.1.1
total_11427425	4.A.1.1.5
total_11478515	8.A.21.2.1
total_11532252	3.D.4.6.1
total_1165241	4.A.1.1.7
total_11653412	1.C.82.1.1
total_11725687	9.B.24.2.2
total_11744295	9.B.3.1.1
total_1174441	1.C.82.1.1
total_11746579	3.B.1.1.5
total_11853887	8.A.21.2.1
total_11866060	1.C.82.1.1
total_11877039	3.E.2.1.1
total_11984780	1.B.12.4.1
total_1198833	1.A.12.3.1
total_12000171	1.A.12.3.1
total_12042372	1.C.82.1.1
total_12059044	2.A.6.4.1
total_12129150	1.C.82.1.1
total_12137147	3.A.7.5.1
total_12157354	8.A.1.3.3
total_12206861	9.B.35.1.1
total_12224745	1.B.17.1.1
total_12258993	9.B.3.1.2
total_12279378	3.D.8.1.1
total_12280301	2.A.37.1.2
total_12297105	8.A.21.2.1
total_12318287	1.C.82.1.1
total_12325101	2.A.72.1.1
total_12360008	9.A.34.1.1
total_1237339	1.C.82.1.1
total_1239760	1.C.82.1.1
total_12398507	1.B.33.1.4
total_12421151	3.D.9.1.1
total_12434426	1.C.82.1.1
total_12478134	9.B.14.1.2
total_12484729	2.A.4.7.1
total_12539151	3.D.1.2.1
total_1255261	2.A.52.1.1
total_12580841	3.D.2.2.1
total_12584163	3.A.5.1.1
total_12593894	1.C.82.1.1
total_12604119	3.A.1.132.3
total_1267572	3.A.1.132.3
total_1268021	3.A.1.5.1
total_12683367	1.B.33.1.3
total_1269184	3.A.1.132.3
total_12719483	3.D.2.2.1
total_12736859	2.A.36.6.1
total_1280978	3.B.1.1.5
total_12835394	1.B.33.1.3
total_12905584	8.A.21.2.1
total_12958512	1.C.82.1.1
total_1298797	2.A.72.1.1
total_13028353	1.C.82.1.1
total_13030817	1.C.82.1.1
total_13066890	2.A.64.1.1
total_1308857	1.C.82.1.1
total_1310415	1.B.33.1.3
total_1311919	1.C.82.1.1
total_13189097	1.C.82.1.1
total_13242721	3.A.7.4.1
total_13252993	3.B.1.1.5
total_13256762	1.C.82.1.1
total_1327543	1.C.82.1.1
total_1334185	8.A.21.2.1
total_13351660	1.C.82.1.1
total_13351942	2.A.7.3.6
total_13379196	8.A.21.2.1
total_13390020	9.A.40.1.2
total_13419757	1.B.33.1.3
total_13423122	3.A.1.102.1
total_13427749	2.A.96.1.2
total_13491684	2.A.96.1.1
total_13550715	1.B.33.1.3
total_13551026	1.C.82.1.1
total_13560665	3.A.2.1.1
total_1369289	9.B.3.1.2
total_1369537	3.B.1.1.2
total_13720086	2.A.6.2.29
total_13754547	3.A.18.1.1
total_13779163	3.A.18.1.1
total_13800290	3.A.7.5.1
total_1382562	1.C.82.1.1
total_13848852	1.C.82.1.1
total_13861096	8.A.21.2.1
total_1388030	3.D.4.4.1
total_13915866	1.C.82.1.1
total_13934554	2.A.96.1.1
total_14046216	3.B.1.1.5
total_1410280	1.A.12.3.1
total_14190532	3.D.1.3.1
total_14234945	1.C.82.1.1
total_14254616	3.A.5.2.2
total_14420893	1.C.82.1.1
total_14421727	1.C.82.1.1
total_144519	2.A.7.22.2
total_14512849	3.A.15.1.1
total_14548927	3.B.1.1.5
total_14565225	1.C.82.1.1
total_1457420	1.C.82.1.1
total_14585154	1.C.82.1.1
total_14628597	3.A.18.1.1
total_14640675	2.A.64.1.1
total_14645409	1.C.82.1.1
total_14775073	1.B.14.12.1
total_14811852	3.D.1.6.3
total_14858725	2.A.7.1.4
total_14891056	1.C.82.1.1
total_14997796	2.A.96.1.1
total_15039926	1.C.82.1.1
total_1504375	1.C.82.1.1
total_15108513	2.A.19.2.1
total_1522118	2.A.55.3.2
total_15261462	1.C.82.1.1
total_15382214	8.A.21.2.1
total_15390492	2.A.67.4.3
total_15423594	1.C.82.1.1
total_15425360	8.A.21.2.1
total_1544171	1.C.82.1.1
total_15441947	3.A.1.122.8
total_1547999	1.B.33.1.3
total_15488781	3.D.1.3.1
total_15534652	1.A.11.2.7
total_15541245	1.C.82.1.1
total_15569523	1.A.11.2.2
total_15613091	1.C.82.1.1
total_15625693	1.C.82.1.1
total_1563060	9.B.3.1.2
total_15661426	3.A.15.2.1
total_15734765	1.C.82.1.1
total_15797783	3.A.12.1.1
total_1580989	2.A.1.3.17
total_15827811	2.A.1.3.34
total_15841810	3.A.5.2.2
total_1584429	1.B.33.1.3
total_15908009	3.B.1.1.5
total_16057773	1.B.12.4.1
total_16221784	1.C.82.1.1
total_16251582	8.A.21.2.1
total_16254685	3.B.1.1.5
total_16272940	8.A.21.2.1
total_16278283	1.C.82.1.1
total_16294982	8.A.21.2.1
total_16297441	1.C.82.1.1
total_16303412	1.C.82.1.1
total_16391809	1.B.33.1.3
total_16427661	3.D.3.3.1
total_16464116	2.A.72.1.1
total_16620209	8.A.1.6.2
total_16680291	3.B.1.1.2
total_16714007	1.C.82.1.1
total_16740159	8.A.21.2.1
total_16756528	1.C.82.1.1
total_16765511	1.C.82.1.1
total_16791700	3.A.5.1.1
total_16794454	1.B.12.4.1
total_16836994	1.C.82.1.1
total_1703253	3.A.1.125.1
total_17075960	1.B.33.1.3
total_17124485	1.C.82.1.1
total_17172403	1.A.12.3.1
total_17204009	8.A.21.2.1
total_17244819	3.A.1.132.3
total_17255835	3.A.5.1.1
total_17279971	1.C.82.1.1
total_17289587	2.A.51.1.4
total_17316591	1.C.82.1.1
total_17362907	8.A.21.2.1
total_174415	3.A.1.27.1
total_17463305	8.A.21.2.1
total_1748129	1.A.12.3.1
total_17558576	1.B.33.1.3
total_17591748	3.A.5.1.1
total_17630499	3.A.5.2.2
total_17647635	2.A.7.1.4
total_1766646	3.A.1.124.3
total_17783293	3.A.1.12.4
total_17835865	8.A.21.2.1
total_17853371	1.C.82.1.1
total_17917335	1.C.82.1.1
total_17994465	8.A.21.2.1
total_17997392	1.C.82.1.1
total_18031612	1.B.33.1.3
total_18036361	1.C.82.1.1
total_1806182	3.A.18.1.1
total_18148	2.A.6.2.31
total_18155591	2.A.72.1.1
total_18181101	1.C.82.1.1
total_18224095	4.C.1.1.4
total_1824213	1.C.82.1.1
total_1826897	3.D.6.1.1
total_1843827	3.A.2.1.1
total_1848952	1.A.2.2.2
total_18501511	1.B.33.1.3
total_18530901	9.B.76.1.1
total_1856626	3.A.5.2.2
total_18601500	3.A.18.1.1
total_18635615	3.A.2.2.1
total_18639984	9.B.3.1.2
total_1864930	8.A.21.2.1
total_18664700	1.C.82.1.1
total_18667704	1.C.82.1.1
total_1867823	1.B.33.1.3
total_18717507	5.A.3.11.2
total_18719334	1.A.12.3.1
total_18770219	9.B.35.2.1
total_18807277	8.A.21.2.1
total_18883279	2.A.64.1.1
total_18883284	1.A.22.1.4
total_18906466	3.A.7.4.1
total_1893259	8.A.21.2.1
total_18948445	2.A.39.3.4
total_18951698	3.D.2.2.1
total_18954089	3.A.14.1.1
total_1902168	3.B.1.1.5
total_19096039	1.C.82.1.1
total_19119367	1.C.82.1.1
total_19123582	3.A.1.132.3
total_19135591	3.A.5.2.2
total_19145031	3.B.1.1.5
total_1914923	3.A.5.1.1
total_19211306	8.A.21.2.1
total_19230924	1.B.33.1.3
total_1926438	3.A.2.1.1
total_19309249	3.D.1.6.2
total_19309250	3.D.1.5.1
total_19309257	3.D.1.5.1
total_1937888	2.A.4.1.2
total_19387557	1.B.33.1.3
total_194582	3.D.1.6.2
total_19461687	8.A.21.2.1
total_19523378	3.D.1.5.1
total_19574588	1.C.82.1.1
total_19587574	1.C.82.1.1
total_1962232	2.A.36.6.4
total_19633675	3.B.1.1.3
total_19734714	1.C.82.1.1
total_19779180	3.A.5.1.1
total_19812441	2.A.67.4.3
total_198944	9.B.27.2.3
total_19897990	1.C.82.1.1
total_19995491	1.C.82.1.1
total_20035521	1.C.82.1.1
total_20060776	8.A.21.2.1
total_2010844	8.A.21.2.1
total_20122756	8.A.21.2.1
total_20226310	1.C.82.1.1
total_2026307	3.D.2.2.1
