Query_id	TC_number
total_10000712	3.D.1.6.1
total_10006954	3.A.1.8.1
total_10007605	3.A.1.3.4
total_10012290	3.A.15.2.1
total_10018861	1.A.24.1.1
total_10018867	2.A.1.6.2
total_10021194	3.A.1.7.1
total_10021195	3.A.1.7.1
total_10025277	3.A.1.7.1
total_10026649	3.A.1.27.1
total_10043509	3.A.1.12.10
total_10053153	3.A.1.2.7
total_10059002	2.A.1.14.3
total_10060313	2.A.6.2.39
total_10066354	3.A.1.1.10
total_10074474	5.A.3.1.1
total_10074862	3.D.9.1.1
total_10075381	3.A.1.1.10
total_1008284	5.A.3.4.1
total_10086002	2.A.7.22.2
total_1009141	9.A.34.1.1
total_10097704	3.A.1.105.1
total_100980	5.A.3.11.2
total_10112592	1.B.12.4.1
total_10114547	3.A.1.5.22
total_10116333	3.A.1.122.2
total_1011652	2.A.6.1.4
total_10118935	3.A.2.1.2
total_1012500	9.A.34.2.1
total_10130683	3.A.1.12.3
total_1013187	2.A.6.1.4
total_10134265	3.A.1.5.27
total_10137559	2.A.80.1.1
total_10137955	3.A.6.3.1
total_10141330	2.A.53.9.2
total_10142258	3.A.1.6.1
total_10143514	3.A.15.2.1
total_10143703	5.B.5.1.1
total_1014457	3.A.1.3.10
total_10148560	3.A.1.11.1
total_1015412	9.A.34.2.1
total_10156496	3.D.1.2.1
total_10156981	3.A.15.1.1
total_10162973	9.A.34.2.1
total_1016552	9.A.34.2.1
total_10165910	3.A.1.11.2
total_10165911	3.A.1.11.2
total_10168464	3.A.1.122.2
total_10173357	9.B.42.1.1
total_10174242	3.A.1.16.1
total_10178230	3.A.1.2.15
total_10181089	2.A.23.1.3
total_10181568	3.A.1.12.10
total_10181569	3.A.1.12.11
total_10186792	3.A.1.16.1
total_10189028	3.A.1.3.5
total_10196986	3.A.1.103.1
total_10206081	3.A.1.11.2
total_10208196	3.A.1.1.5
total_10210436	9.B.14.2.3
total_1021661	3.A.1.11.1
total_1021663	3.A.1.11.2
total_10221504	3.A.1.6.2
total_10221633	3.A.1.1.5
total_10221676	3.D.1.5.1
total_10229444	2.A.80.1.1
total_1023270	3.D.1.2.1
total_10237723	3.A.1.3.19
total_1024064	3.A.1.34.1
total_10247348	9.A.34.2.1
total_1024827	3.A.1.20.1
total_10255585	3.A.1.11.2
total_10264628	2.A.1.8.8
total_10274310	3.A.1.110.10
total_10276303	3.A.1.11.6
total_10286091	9.A.34.2.1
total_10288660	3.A.1.17.1
total_10300699	9.A.34.1.1
total_10301193	9.A.34.1.1
total_10301944	9.B.27.2.4
total_10303139	3.A.1.34.1
total_1030349	3.A.1.5.5
total_10305433	3.A.6.2.1
total_10309539	3.A.1.7.1
total_1031148	3.A.1.11.3
total_10311541	3.A.1.8.1
total_10314098	3.A.1.6.1
total_1031614	3.D.1.2.1
total_1031621	9.A.41.1.1
total_10316585	3.A.6.2.1
total_10320172	3.D.1.6.1
total_1032096	3.A.1.5.25
total_10325777	3.A.2.1.2
total_10330856	3.A.1.2.1
total_10334137	3.A.1.7.1
total_10337007	3.A.1.5.2
total_1034846	3.A.1.2.1
total_10349246	3.A.9.1.1
total_10352516	3.D.1.5.1
total_10353214	3.A.1.2.7
total_10354170	9.B.42.1.1
