Query_id	Ko_id
total_1000061	K05998
total_10000825	K05592
total_10001157	K00931
total_10001329	K01704
total_10001331	K01649
total_10001487	K12573
total_10001601	K05844
total_10001860	K14941
total_10002080	K03088
total_10002840	K03481
total_10003353	K05501
total_10004468	K02956
total_10005995	K03088
total_10006407	K13874
total_10007909	K00567
total_10008180	K03546
total_100083	K02963
total_10008338	K03298
total_10008375	K00135
total_10008390	K06920
total_10008661	K02907
total_1000901	K02982
total_10009254	K00554
total_10009706	K15451
total_10010184	K09017
total_10010304	K01259
total_10010351	K00108
total_10010457	K02825
total_10010667	K00575
total_10010711	K03495
total_10010940	K03182
total_10011194	K00760
total_10011943	K00634
total_10012094	K00839
total_10012135	K00554
total_10012325	K02160
total_10012367	K00121
total_10012448	K03438
total_10013324	K06168
total_1001352	K03316
total_10013550	K01420
total_10013746	K03496
total_10013998	K01006
total_10014324	K00029
total_10014514	K03296
total_10014561	K03437
total_10014667	K01256
total_1001561	K02952
total_1001562	K02948
total_10016096	K00837
total_10016877	K09823
total_10017116	K01782
total_10017433	K02886
total_10017434	K02892
total_10017435	K02926
total_1001749	K01797
total_10017542	K01768
total_1001770	K06949
total_10017880	K01139
total_1001837	K01754
total_10018423	K03625
total_10018599	K03090
total_10019141	K00014
total_1001944	K13038
total_10020320	K05970
total_10020444	K03599
total_10020681	K02428
total_100207	K06219
total_10020971	K01749
total_10021375	K15726
total_10022168	K02950
total_10022256	K02952
total_10022843	K07021
total_10022904	K01869
total_10023091	K01754
total_10024241	K13990
total_1002495	K08289
total_10025133	K07185
total_10025134	K06442
total_10025337	K14166
total_10026062	K02884
total_10026272	K02501
total_10026442	K00088
total_10026619	K02081
total_1002706	K03186
total_10028472	K02867
total_10028473	K02863
total_10028474	K02864
total_10028475	K02935
total_10028943	K00826
total_10029097	K03595
total_10029242	K01876
total_1002941	K00286
total_10029516	K05808
total_10029550	K02909
total_1002973	K00773
total_10029766	K11177
total_10029774	K01867
total_10030036	K13525
total_10030910	K07560
total_10030915	K01657
total_10030922	K03978
total_10030983	K04763
total_10031043	K03595
total_10031266	K02315
total_10031433	K01151
total_1003150	K01638
total_10031699	K00823
total_10031700	K01039
total_1003203	K01908
total_10032160	K03699
total_10032935	K01782
total_1003307	K03495
total_10033091	K09457
total_10034236	K00981
total_10034385	K01420
total_10034695	K06985
total_10035345	K02879
total_10035564	K16052
total_10035998	K01473
total_100363	K00798
total_10036498	K00566
total_10036520	K02343
total_100366	K01894
total_10036737	K03439
total_10037320	K03089
total_10037689	K01259
total_10038261	K01880
total_10039347	K00282
total_10039879	K00164
total_10039940	K02319
total_10040300	K00301
total_10040435	K00304
total_10042184	K01420
total_10043146	K03577
total_1004317	K02913
total_10043234	K04794
total_10043388	K03519
total_10043413	K00652
total_10043415	K01586
total_10043543	K03417
total_10044189	K01069
total_10044665	K00241
total_10044694	K05810
total_10044911	K01533
total_10045227	K00101
total_10045836	K00684
total_10046380	K02899
total_10046737	K02358
total_10046739	K02906
total_1004721	K03789
total_10047424	K00283
total_10047730	K03495
