Query_id	tax
total_1000061	k__Bacteria;p__Proteobacteria
total_10000825	k__Bacteria;p__Actinobacteria
total_10001157	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
total_10001329	k__Bacteria
total_10001331	k__Bacteria
total_10001487	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_10001601	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10001860	Unclassified
total_10002080	k__Bacteria
total_10002840	k__Bacteria
total_10003353	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria
total_10003609	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10004468	k__Bacteria
total_10005995	k__Bacteria
total_10006407	k__Bacteria;p__Proteobacteria
total_10007909	k__Bacteria
total_10008180	k__Bacteria
total_100083	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10008338	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10008339	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10008340	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Phycicoccus;s__Phycicoccus_jejuensis
total_10008375	k__Bacteria;p__Actinobacteria
total_10008390	k__Bacteria
total_10008661	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_1000901	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10009254	k__Bacteria
total_10009706	k__Bacteria;p__Proteobacteria
total_10010184	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces
total_10010304	k__Bacteria
total_10010351	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10010457	k__Bacteria
total_10010562	k__Bacteria;p__Actinobacteria
total_10010667	k__Bacteria;p__Proteobacteria
total_10010711	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10010940	k__Bacteria
total_10011194	k__Bacteria
total_10011943	k__Bacteria;p__Proteobacteria
total_10012094	k__Bacteria
total_10012135	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria
total_10012325	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10012367	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10012448	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae
total_10013324	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_1001352	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10013550	k__Bacteria
total_10013746	k__Bacteria
total_10013998	k__Bacteria
total_10014324	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae
total_10014514	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10014561	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae
total_10014667	k__Bacteria
total_1001561	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
total_1001562	k__Bacteria
total_10016096	k__Bacteria;p__Actinobacteria
total_10016877	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae
total_10017116	k__Bacteria
total_10017433	k__Bacteria
total_10017434	k__Bacteria
total_10017435	k__Bacteria
total_1001749	k__Bacteria
total_10017542	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_1001770	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10017880	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
total_1001837	Unclassified
total_10018423	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10018599	k__Bacteria;p__Actinobacteria
total_10019141	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_1001944	k__Bacteria
total_10020320	k__Bacteria
total_10020444	Unclassified
total_10020681	k__Bacteria;p__Bacteroidetes
total_100207	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10020971	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10021375	k__Bacteria
total_10022168	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10022256	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria
total_10022843	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10022904	k__Bacteria
total_10023091	k__Bacteria;p__Proteobacteria
