Query_id	Ko_id
total_1000061	K05998
total_10001616	K01366
total_10001803	K09001
total_10002036	K02372
total_10002291	K00599
total_100023	K01639
total_10002342	K01198
total_10002693	K04792
total_10002756	K08234
total_10003215	K08651
total_10003400	K07659
total_10003534	K03684
total_10003606	K00688
total_10003876	K00694
total_10003906	K02666
total_1000435	K01362
total_10004383	K02621
total_10004672	K03684
total_10004711	K02450
total_1000483	K01868
total_10004884	K03530
total_10005785	K04079
total_10006305	K02658
total_10006591	K03768
total_1000694	K10026
total_10007028	K03437
total_10007336	K02669
total_10007764	K05516
total_10008345	K00820
total_10008832	K03767
total_10009115	K03687
total_10009545	K06173
total_10010513	K07010
total_10011083	K04083
total_10011084	K04078
total_10011434	K02450
total_10011815	K04762
total_10012862	K03536
total_1001321	K01358
total_10013219	K01631
total_1001322	K03544
total_10013331	K10943
total_10014142	K01054
total_10014209	K00185
total_10014572	K01419
total_10015343	K01443
total_10015497	K07042
total_10015644	K02106
total_10015798	K01710
total_10016149	K02654
total_10016483	K03088
total_10017012	K03723
total_10017080	K03687
total_10017954	K12410
total_10018128	K05516
total_10018376	K09607
total_10018530	K03771
total_1001921	K00135
total_1001950	K01199
total_1001951	K11991
total_10020184	K03437
total_10020378	K01362
total_10020511	K01897
total_10020726	K01258
total_10020934	K11357
total_10021830	K11103
total_10022139	K02656
total_10022169	K02315
total_10022511	K03624
total_10022589	K02412
total_10023594	K01286
total_10024454	K02419
total_10024470	K06169
total_10024788	K02664
total_1002502	K01210
total_10025202	K07277
total_10025203	K03696
total_10025294	K01337
total_10026064	K01188
total_10026581	K14058
total_10027319	K02667
total_10027418	K07793
total_10027426	K07659
total_10027886	K04618
total_10028441	K02221
total_10028473	K02863
total_10028474	K02864
total_10028476	K03043
total_1002892	K01207
total_10029035	K02477
total_10029424	K02483
total_10029514	K02744
total_10029861	K01069
total_10029886	K01362
total_10030252	K01337
total_10030477	K01423
total_10030674	K13628
total_1003172	K12941
total_10031930	K01409
total_10032647	K07687
total_10032654	K02890
total_10032697	K06997
total_10032777	K15058
total_10033837	K03536
total_10034519	K13614
total_10036363	K15512
total_10036431	K06177
total_10036589	K07568
total_10036695	K01443
total_10037409	K02400
total_10037428	K03177
total_10037763	K03695
total_10038013	K01838
total_10038034	K15257
total_10038386	K14672
total_10038728	K07152
total_10040262	K04078
total_10040363	K01593
total_1004152	K01303
total_10042791	K00575
total_10042944	K00694
total_10043108	K15855
total_10043358	K12854
total_10043455	K05968
total_10045024	K01069
total_10045988	K02236
total_10046159	K07568
total_10046184	K01417
total_1004625	K03652
total_1004626	K01271
total_10046370	K06177
total_10046769	K03296
total_10046955	K01262
total_10047156	K04786
total_10048124	K01284
total_10048207	K02409
total_10048358	K03100
total_10048425	K07516
total_10048648	K08884
total_10048809	K01087
total_10049135	K15643
total_10049136	K15642
total_10050147	K01679
total_10050477	K08282
total_10051047	K02517
total_10051308	K07787
total_10051483	K15660
total_10051947	K11893
total_1005216	K12573
total_10052186	K09458
total_10052290	K10011
total_10052617	K00883
total_10052747	K04083
total_1005291	K06894
total_10052963	K07566
total_10053012	K01341
total_1005398	K10026
total_10055	K03671
total_10055465	K14981
total_1005648	K13051
total_10056499	K00703
total_10056853	K02657
total_10057479	K04078
total_10057569	K00504
total_10058866	K15659
total_10058868	K02666
total_10059076	K09020
total_10059079	K04078
total_10059157	K07799
total_10059251	K04618
total_10059458	K15894
total_10059848	K02824
total_10060118	K00274
total_10060859	K01961
total_1006159	K01419
total_1006187	K07793
total_10062814	K02527
total_10063173	K00523
total_10063619	K02230
total_10063758	K01358
total_10063839	K01210
total_10064028	K03295
total_10064197	K05807
total_10064313	K01283
total_1006534	K02005
total_10065422	K03775
total_10066038	K15663
total_10066039	K15663
total_10066471	K00658
total_10066558	K02364
total_10068799	K12605
total_10068871	K00074
total_10068880	K08259
total_10069166	K00763
total_10069394	K06941
total_1006956	K00754
total_10070584	K09973
total_10070630	K01419
