Query_id	Subject_class
total_10002036	CE11
total_10002342	GH43
total_10002342	GH43
total_10002342	GH43
total_10002342	GH43
total_10002342	GH43
total_10002342	GH43
total_10003215	CBM5
total_10003606	GT35
total_10003606	GT35
total_10003876	GH17
total_10003876	GH17
total_10003876	GH17
total_10003876	GH17
total_1000483	GH28
total_10006305	CE11
total_10006591	GT66
total_10008832	GT66
total_10011083	GT96
total_10013331	CE11
total_10015343	CE9
total_10015343	CE9
total_10018376	CBM32
total_10018376	CBM5
total_10018376	CBM6
total_10018376	CBM6
total_10018376	CBM6
total_10018376	CBM6
total_10018376	CBM6
total_10018376	CBM6
total_10018376	CBM57
total_10018376	CBM6
total_10018376	CBM57
total_10018376	CBM6
total_10018376	GH18
total_10018376	CBM6
total_10018376	CBM6
total_10018376	GH85
total_10018376	CBM32
total_10018376	CBM5
total_10018376	CBM32
total_10018376	CBM6
total_10018376	GH18
total_10018376	GH85
total_10018376	GH85
total_1001950	GH16
total_1001951	GH13
total_10020934	GT2
total_10022139	GT2
total_10022139	GT41
total_10023594	GH3
total_10023594	GH3
total_10023594	GH3
total_10023594	GH3
total_10023594	GH3
total_10023594	GH3
total_10023594	GH3
total_10023594	GH3
total_1002502	GH17
total_1002502	GH17
total_1002502	GH17
total_1002502	GH17
total_1002502	GH17
total_1002502	GH17
total_1002502	GH17
total_1002502	GH17
total_1002502	GH17
total_1002502	GH17
total_1002502	GH17
total_1002502	GH17
total_1002502	GH17
total_1002502	GH17
total_10026064	GH3
total_10026064	GH3
total_10027319	CE11
total_10027426	CE11
total_10027426	CE11
total_10027426	CE11
total_10027426	CE11
total_10027426	CE11
total_10027426	CE11
total_10027426	CE11
total_10027426	CE11
total_10027886	AA5
total_1002892	GH3
total_1002892	GH3
total_10029035	GT2
total_10029035	GT2
total_10029424	CE14
total_10029424	CE11
total_10029424	CE11
total_10029424	CE11
total_10029424	CE11
total_10029886	CE4
total_10029886	CBM6
total_10029886	CBM6
total_10029886	CBM6
total_10029886	CBM57
total_10032647	GT2
total_10032647	CE11
total_10032647	GT2
total_10032647	GT2
total_10034519	GH4
total_10036695	CE9
total_10036695	CE9
total_10036695	CE9
total_10042944	GT2
total_10042944	GT2
total_10042944	GT2
total_10042944	GT2
total_10043108	GH2
total_10043355	CE4
total_10043355	CE4
total_10043355	CE4
total_10043355	CE4
total_10043355	CE4
total_10043355	CE4
total_10043355	CE4
total_10043355	CE4
total_10043355	CE4
total_10043355	CE4
total_10043355	CE4
total_10043355	CE4
total_10043355	CE4
total_10043355	CE4
total_10043355	CE4
total_10043455	CE12
total_10048648	CBM6
total_10048809	GT20
total_10051308	GH78
total_10051483	GH4
total_10053012	CBM5
total_10053012	CBM5
total_10056499	GT5
total_10056499	GT5
total_10056499	GT5
total_10056499	GT5
total_10056499	GT5
total_10056499	GT5
total_10056499	GT5
total_10056499	GT5
total_10056499	GT5
total_10056853	CE11
total_10056853	CE11
total_10056853	CE11
total_10056853	CE11
total_10056853	CE11
total_10056853	CE11
total_10058866	GH4
total_10058868	CBM50
total_10058868	CBM50
total_10059251	AA5
total_1006097	GT17
total_1006097	GT4
total_1006097	GT17
total_1006097	GT4
total_10062814	GT30
total_10062814	GT30
total_10062814	GT30
total_10062814	GT30
total_10062814	GT30
total_10062814	GT30
total_10062814	GT30
total_10062814	GT30
total_10062814	GT9
total_10062814	GT30
total_10062832	GT4
total_10062832	GT2
total_10062832	GT4
total_10062832	GT4
total_10062832	GT2
total_10063839	GH17
total_10066038	GH4
total_10066558	GH4
total_10067561	GT1
total_10067926	GH38
total_10068160	GT4
total_10068160	GT4
total_10068160	GT4
total_10068160	GT4
total_10068880	CBM50
total_1006956	GT2
total_10071744	GH57
total_10071744	GH57
total_10072557	GT2
total_1007403	CBM5
total_10074692	GH13
total_10076627	GT20
total_10076627	GT20
total_10077709	GT1
total_10079141	GT2
total_10080632	GT83
total_10080632	GT83
total_10085192	CBM12
total_10085205	CBM57
total_10085205	CBM57
total_10086048	GH27
total_10086955	CE14
total_10088025	GT2
total_10089102	GH36
total_10090004	GH2
total_1009022	GT4
total_1009022	GT4
total_1009022	GT4
total_1009022	GT4
total_10091060	GT35
total_10091060	GT35
total_100918	GT20
total_100918	GT20
total_100918	GT20
total_100918	GT20
total_100918	GT20
total_100918	GT20
total_10092210	GT41
total_10092210	GT41
total_10092376	GH74
total_10092376	GH74
total_10092376	GH74
total_10092376	GH74
total_10092376	GH74
total_10093355	GT51
total_10093355	GT51
total_10095125	GH4
total_10096219	GH51
total_10096533	GH4
total_10098079	GT66
total_10098079	GT66
total_1009982	GH3
total_1010103	GH26
total_1010103	GH26
total_10101288	CBM32
total_10101288	GH18
total_10101288	CBM5
total_10101960	CBM35
total_10101960	CBM35
total_10102675	CBM5
total_10104562	CBM5
total_10104562	CBM5
total_10104562	CBM5
total_10106173	CE9
total_10106928	GH43
total_10106928	GH43
total_10106928	GH43
total_10107148	GH27
total_10108169	GH27
total_10111433	GH4
total_10111977	GT2
total_10111977	GT2
total_10112540	GH42
total_10112540	GH42
total_10112540	GH42
total_10112540	GH42
total_10112540	GH42
total_10112540	GH42
total_10112540	GH42
