Query_id	Subject_class
total_1000046	GH18
total_1000046	GH18
total_10001284	GT4
total_10001284	GT4
total_10001284	GT4
total_10001284	GT4
total_10001284	GT4
total_10001285	GT4
total_1000130	GH43
total_10001356	GH65
total_10001356	GH65
total_10001356	GH65
total_10001356	GT2
total_10001429	CBM47
total_10001429	CBM47
total_10001571	GT2
total_10002023	CBM50
total_10002023	CBM50
total_1000225	GH1
total_1000225	GH1
total_1000250	GT28
total_10003225	GH2
total_10003318	GH18
total_10003318	GH18
total_10003592	GT2
total_10003635	GT2
total_10003635	GT2
total_10003751	CBM35
total_10003751	CBM13
total_10003751	CBM13
total_10003751	CBM13
total_10003876	GH17
total_10003876	GH17
total_10003876	GH17
total_10003876	GH17
total_10004310	GT2
total_1000437	GT4
total_10004695	GT2
total_10004695	GT2
total_10004696	GT4
total_10004696	GT4
total_10004696	GT4
total_10004696	GT4
total_10004696	GT4
total_10004809	CE11
total_10005039	GH37
total_10005444	GT2
total_10005444	GT2
total_10005838	GT2
total_10005846	CBM50
total_10005846	CBM50
total_10005846	CBM50
total_10005846	CBM50
total_10006305	CE11
total_10006591	GT66
total_10006901	CBM9
total_10006901	GH39
total_10006901	CBM9
total_1000742	GH3
total_10007429	GH72
total_10007456	GT41
total_10007456	GT41
total_10007535	CE4
total_10007535	CE4
total_1000781	GT9
total_1000781	GT9
total_1000781	GT9
total_10008296	GH78
total_10008365	CE11
total_10008436	CE4
total_10008436	CE4
total_10008800	GH74
total_10008800	GH74
total_10008800	GH74
total_10008800	GH74
total_10009561	GH43
total_10009561	GH43
total_10009719	GT89
total_10009843	GT4
total_10009914	GH28
total_10009914	GH28
total_10010193	CBM47
total_10010273	GH39
total_10010846	GT66
total_10010876	GT9
total_10010876	GT9
total_10012208	GH26
total_10012845	CE11
total_10013974	CBM50
total_10013974	CBM50
total_10014388	CBM13
total_10014834	GT4
total_10015343	CE9
total_10015343	CE9
total_1001657	CBM50
total_1001657	CBM50
total_10017321	GT51
total_10017321	GT51
total_10017734	GH13
total_10017734	CBM48
total_10017734	CBM48
