Query_id	TC_number
total_10000403	3.D.4.5.1
total_10030488	3.D.3.2.1
total_10037848	3.D.1.2.1
total_10043509	3.A.1.12.10
total_10054225	3.D.1.2.1
total_1005662	3.A.1.32.1
total_10085359	3.D.4.5.1
total_10109340	8.A.7.1.1
total_1013425	2.A.1.6.6
total_10142809	3.D.1.2.1
total_10183386	3.D.1.6.2
total_10192868	3.E.2.1.1
total_10198584	2.A.7.22.2
total_10206014	3.A.1.2.7
total_10222215	2.A.53.8.1
total_10230409	3.D.1.2.1
total_10275437	3.D.1.2.1
total_10304226	3.D.4.7.1
total_10308887	3.A.1.14.21
total_10310727	1.A.24.1.1
total_10329171	3.A.1.7.2
total_10390954	3.D.4.5.1
total_10402798	3.D.1.6.1
total_10405750	3.D.1.2.1
total_10410406	3.A.2.1.2
total_104146	3.D.4.7.1
total_10424197	3.A.1.106.3
total_10425197	3.D.4.7.1
total_10447562	3.D.1.6.1
total_10447744	3.D.1.3.1
total_1045036	3.A.1.1.33
total_10464884	3.D.1.3.1
total_10465017	3.A.1.107.1
total_10474488	3.A.1.16.2
total_10475713	3.D.1.3.1
total_10488748	3.A.1.6.2
total_10495421	3.D.4.4.2
total_10497958	3.D.4.5.1
total_10501069	3.D.1.6.2
total_10514060	1.A.24.1.1
total_10529439	3.D.1.2.1
total_10554480	3.D.4.7.1
total_10580210	3.D.3.3.1
total_10599786	3.D.1.3.1
total_10604742	3.D.4.7.1
total_10608752	3.D.1.2.1
total_10608754	3.D.1.2.1
total_10662089	3.D.1.2.1
total_10664861	2.A.1.7.1
total_10687618	3.D.4.5.1
total_10688027	3.D.4.7.1
total_10733198	3.D.1.2.1
total_10734199	3.D.4.5.1
total_10772160	3.B.1.1.2
total_10775822	3.D.1.2.1
total_10792900	3.A.2.1.1
total_10793496	3.A.1.12.3
total_10810311	3.A.1.2.7
total_10811095	3.A.1.3.7
total_10811441	3.D.9.1.1
total_10827875	3.D.1.2.1
total_10834223	3.D.4.7.1
total_10835900	3.A.3.23.1
total_10853612	3.A.2.1.2
total_10875287	3.D.1.1.1
total_1088772	3.D.1.2.1
total_10937884	5.A.3.4.1
total_10964510	1.A.24.1.1
total_10978386	3.D.4.4.1
total_1098110	3.A.1.6.1
