Query_id	Subject_class
total_10001285	GT4
total_10001429	CBM47
total_10001429	CBM47
total_10001589	CBM2
total_10001589	CBM2
total_10001837	GT9
total_10003215	CBM5
total_10003347	GT9
total_1000345	GT19
total_10003633	GT4
total_10003633	GT4
total_10003633	GT4
total_10004696	GT4
total_10004696	GT4
total_10004696	GT4
total_10004696	GT4
total_10004696	GT4
total_10004809	CE11
total_10005444	GT2
total_10005444	GT2
total_10005605	GT4
total_10005605	GT4
total_10005605	GT4
total_10005605	GT4
total_10005605	GT4
total_10005605	GT4
total_10006305	CE11
total_10006591	GT66
total_1000781	GT9
total_1000781	GT9
total_1000781	GT9
total_10008800	GH74
total_10008800	GH74
total_10008800	GH74
total_10008800	GH74
total_10008899	GH12
total_10008899	GH12
total_10009719	GT89
total_10009842	CBM50
total_10009842	CBM50
total_10009843	GT4
total_10009914	GH28
total_10009914	GH28
total_10010017	GT30
total_10012845	CE11
total_10013487	GT2
total_10014834	GT4
total_10016732	GT51
total_10017321	GT51
total_10017321	GT51
total_10018360	GH4
total_10018926	GT1
total_10020934	GT2
total_10022709	GT2
total_10024432	AA5
total_10025346	GH3
total_10025346	GH3
total_10025346	GH3
total_10025346	GH3
total_10026649	CBM50
total_10027048	GH4
total_10027319	CE11
total_10029035	GT2
total_10029035	GT2
total_10029686	CE8
total_10029886	CBM6
total_10029886	CBM6
total_10029886	CBM57
total_10029886	CE4
total_10029886	CBM6
total_1003048	GT51
total_10030952	GT1
total_10030980	GT90
total_10031824	AA7
total_10032647	GT2
total_10032647	GT2
total_10032647	CE11
total_10032647	GT2
total_10033800	GT30
total_10034677	GT4
total_10034988	GT2
total_10038787	GT81
total_10038787	GT81
total_10040712	GT2
total_10041303	CBM13
total_10041358	GT2
total_10041390	GH4
total_10043355	CE4
total_10043355	CE4
total_10043355	CE4
total_10043355	CE4
total_10043355	CE4
total_10043355	CE4
total_10043355	CE4
total_10043355	CE4
total_10043355	CE4
total_10043355	CE4
total_10043355	CE4
total_10043355	CE4
total_10043355	CE4
total_10043355	CE4
total_10043355	CE4
total_10044303	CBM47
total_10044650	GT51
total_10047391	GT9
total_10047495	CE11
total_10047496	GT2
total_1004753	GT83
total_1004753	GT83
total_1004753	GT83
