Query_id	Subject_class
total_10000524	GH95
total_10003475	CBM50
total_10003475	CBM50
total_10003475	CBM50
total_10007584	GH1
total_10007584	GH1
total_10007584	GH1
total_10007584	GH1
total_10007584	GH1
total_10007584	GH1
total_10007584	GH1
total_10007584	GH1
total_10010170	CE16
total_10010351	AA3
total_10010388	CBM50
total_10011733	GH4
total_1001341	GT41
total_10017474	GH78
total_10019052	AA3
total_10019066	GT2
total_10019066	GT2
total_10019066	GT2
total_10019271	GH130
total_10019271	GH130
total_10019271	GH130
total_1002132	CE11
total_1002132	CE11
total_1002132	CE11
total_1002132	CE11
total_10024045	CBM35
total_10025800	GT2
total_10028094	CBM5
total_10029511	GH10
total_10029511	CBM13
total_10032159	GH13
total_10032790	GH1
total_10032790	GH1
total_10032790	GH1
total_10032790	GH1
total_10036404	GT47
total_10037071	GH18
total_10037071	CBM50
total_10038042	GT28
total_10038377	GH28
total_10041088	GT51
total_10041480	CBM5
total_10043925	CBM6
total_10044344	GH76
total_10050823	GH28
total_10056404	GT2
total_10057106	GH18
total_10057106	GH18
total_10057106	CBM2
total_10057106	CBM2
total_10062832	GT4
total_10062832	GT2
total_10062832	GT4
total_10062832	GT2
total_10062832	GT4
total_10063612	GH76
total_10063704	GT4
total_10063704	GT4
total_10063704	GT4
total_10063704	GT4
total_10063704	GT4
total_10063704	GT2
total_10063704	GT4
total_10063704	GT4
total_10063704	GT4
total_10063704	GT2
total_10063704	GT4
total_10064762	CBM5
total_10070031	CE11
total_10070031	CE11
total_10070031	CE11
total_10070031	CE11
total_10070031	CE11
total_10070031	CE11
total_10070031	CE11
total_10070062	CE9
total_10070062	CE9
total_1007012	CBM6
total_1007014	GT2
total_10071396	GH3
total_10071396	GH3
total_10071708	GH2
total_10072021	GH109
total_10073652	PL11
total_10074211	GH33
total_10076142	GH28
total_10076345	GH47
total_10076618	GT76
total_10077067	GH28
total_10077192	GH32
total_10077192	GH32
total_10077192	GH32
total_10078400	GH36
total_10078400	GH36
total_10081066	GH3
total_10082187	GH4
total_1008912	GH2
total_10090461	GH31
total_10096643	GH2
total_10097152	CBM32
total_10097152	GH87
total_10097152	CBM32
total_10097152	GH87
total_10097194	GH92
total_10097306	GH16
total_10100170	GH12
total_10100170	GH12
total_10100897	CBM50
total_10100897	CBM50
total_10102675	CBM5
total_10104914	GT9
total_10104926	GH51
total_10106882	GH28
total_10109470	GH16
total_10109470	GH16
total_10109470	GH16
total_10111666	GT2
total_10111666	GT4
total_10111666	GT4
total_10111666	GT4
total_10111666	GT4
total_10111666	GT4
total_10111666	GT4
total_10111666	GT4
total_10111666	GT4
total_10112670	GT41
total_10112670	GT2
total_1011297	GT28
total_10113685	CE9
total_10116698	CBM13
total_10116698	CBM13
total_10116698	CBM13
total_10116698	CBM13
total_10116698	CBM13
total_10116944	GH18
total_10119293	GT2
total_10119293	GT2
total_10119293	GT2
total_10119689	GH16
total_10119689	GH16
total_10119689	GH16
total_10119689	GH16
total_10122004	GH13
total_10125116	CE9
total_10125116	CE9
total_1012632	CE11
total_1012632	CE11
total_1012632	CE11
total_1012632	CE11
total_1012632	CE11
total_1012632	CE11
total_1012632	CE11
total_1012632	CE11
total_1012636	GT2
total_10126559	CBM2
total_10127128	CBM50
total_10127128	CBM50
total_10127845	GT2
total_10127845	GT2
total_10127845	GT2
total_10127845	GT2
total_10127845	GT2
total_10128407	GH76
total_101292	GH2
total_1012922	GT26
total_1013002	GT4
total_1013002	GT4
total_10130812	GH2
total_10130812	GH28
total_10131481	GH16
total_10131481	PL9
total_10131481	PL9
total_10132142	GT47
total_10132550	GH18
total_10134386	GH9
total_10134902	CBM50
total_10134902	CBM50
total_10134902	CBM50
total_10139401	GT2
total_10139401	GT4
total_10139401	GT4
total_1014025	CBM50
total_1014025	CBM50
total_1014025	CBM50
total_1014025	CBM50
total_1014025	CBM50
total_1014025	CBM50
total_1014025	CBM50
total_1014025	CBM50
total_1014025	GH23
total_10141078	CE9
total_10143394	GH3
total_10144692	GH39
total_10147092	GH18
total_10150749	CBM50
total_10150749	CBM50
total_10150749	CBM50
total_10151341	GH2
total_10152846	GH51
total_10152846	GH51
total_10152846	GH51
total_10156489	GH104
total_10157322	GT41
total_10157322	GT41
total_10157322	GT41
total_10157322	GT41
