Query_id	Subject_class
total_1000046	GH18
total_1000046	GH18
total_10000980	CBM13
total_10000980	CBM13
total_10001284	GT4
total_10001284	GT4
total_10001284	GT4
total_10001284	GT4
total_10001284	GT4
total_10001285	GT4
total_1000130	GH43
total_10001356	GH65
total_10001356	GH65
total_10001356	GT2
total_10001356	GH65
total_10001429	CBM47
total_10001429	CBM47
total_10001464	GH78
total_10001571	GT2
total_10002023	CBM50
total_10002023	CBM50
total_1000225	GH1
total_1000225	GH1
total_10003318	GH18
total_10003318	GH18
total_10003751	CBM35
total_10003751	CBM13
total_10003751	CBM13
total_10003751	CBM13
total_10003876	GH17
total_10003876	GH17
total_10003876	GH17
total_10003876	GH17
total_1000437	GT4
total_10004695	GT2
total_10004695	GT2
total_10004696	GT4
total_10004696	GT4
total_10004696	GT4
total_10004696	GT4
total_10004696	GT4
total_10005039	GH37
total_10005444	GT2
total_10005444	GT2
total_10005846	CBM50
total_10005846	CBM50
total_10005846	CBM50
total_10005846	CBM50
total_10006305	CE11
total_10006591	GT66
total_10006901	CBM9
total_10006901	CBM9
total_10006901	GH39
total_1000742	GH3
total_10007535	CE4
total_10007535	CE4
total_1000781	GT9
total_1000781	GT9
total_1000781	GT9
total_10008296	GH78
total_10008436	CE4
total_10008436	CE4
total_10008800	GH74
total_10008800	GH74
total_10008800	GH74
total_10008800	GH74
total_10009719	GT89
total_10009843	GT4
total_10010273	GH39
total_10010808	GH39
total_10010846	GT66
total_10010876	GT9
total_10010876	GT9
total_10012208	GH26
total_10012845	CE11
total_10013974	CBM50
total_10013974	CBM50
total_10014388	CBM13
total_10014834	GT4
total_1001657	CBM50
total_1001657	CBM50
total_10017321	GT51
total_10017321	GT51
total_10018328	AA7
total_100190	GH13
total_100190	GH13
total_100190	GH13
total_1001950	GH16
total_10021147	GH5
total_10021193	GT80
total_10022129	GH103
total_10022139	GT2
total_10022139	GT41
total_10022147	GT81
total_10022911	GT1
total_10023318	GH13
total_10023457	CBM50
total_10023457	CBM50
total_10024472	CBM50
total_10024472	CBM50
total_1002472	GH5
