Query_id	TC_number
total_10002315	3.A.7.15.1
total_10005136	3.A.1.11.2
total_10005438	2.A.1.6.6
total_10006954	3.A.1.8.1
total_10007075	2.A.6.1.4
total_10007605	3.A.1.3.4
total_10008437	3.A.1.27.1
total_10008486	3.A.1.5.22
total_10009178	3.A.1.109.1
total_10009553	2.A.55.2.4
total_10012290	3.A.15.2.1
total_10013974	3.A.1.120.5
total_1001657	3.A.1.105.3
total_10018867	2.A.1.6.2
total_10021194	3.A.1.7.1
total_10021195	3.A.1.7.1
total_10022078	3.A.1.5.12
total_10024472	3.A.1.27.5
total_10024473	3.A.1.27.1
total_10025203	9.A.34.2.1
total_10025277	3.A.1.7.1
total_10026387	3.A.1.4.6
total_10026649	3.A.1.27.1
total_10026650	3.A.1.27.1
total_10028045	3.A.1.2.7
total_1002843	1.B.42.1.2
total_10032324	3.A.1.4.6
total_10034844	3.A.1.11.2
total_10037440	3.A.1.27.4
total_10037595	3.D.1.5.1
total_10038382	3.A.1.17.6
total_1003924	3.A.1.11.2
total_10039480	3.D.2.2.1
total_10040105	3.A.1.3.2
total_1004107	3.A.1.7.1
total_10041667	3.A.1.4.1
total_10041696	3.A.1.115.1
total_10048922	3.A.1.27.3
total_10050065	3.A.1.1.24
total_10053153	3.A.1.2.7
total_10056634	3.A.1.5.20
total_10057599	3.A.1.3.10
total_1005843	2.A.1.35.1
total_10059002	2.A.1.14.3
total_10060269	3.A.1.4.1
total_10060409	3.A.1.2.5
total_10063128	3.A.1.120.5
total_10064541	3.A.1.3.9
total_10066354	3.A.1.1.10
total_10067024	3.A.1.5.20
total_10073195	3.A.1.110.3
total_10073656	3.A.1.15.6
total_10074523	2.A.23.1.2
total_10075035	3.A.1.2.2
total_10075046	3.A.1.5.24
total_10075381	3.A.1.1.10
total_10075569	3.A.1.5.4
total_1007695	3.A.1.11.6
total_1007701	3.A.1.1.3
total_10079124	3.A.1.105.1
total_10079603	3.A.1.27.1
total_10081062	3.A.1.141.1
total_1008252	3.A.1.1.32
total_10082688	3.D.1.6.3
total_1008284	5.A.3.4.1
total_10086002	2.A.7.22.2
total_10086242	3.A.15.2.1
total_10090562	3.A.1.5.20
total_10090563	3.A.1.5.20
total_10092676	3.A.1.7.1
total_10093510	3.D.4.5.1
total_10093511	3.D.4.5.1
total_10093850	3.A.1.11.2
total_10096553	2.A.1.7.2
total_10097281	2.A.23.1.6
total_10097704	3.A.1.105.1
total_10097920	3.A.7.15.1
total_100980	5.A.3.11.2
total_10099472	3.A.1.4.1
total_10102810	3.A.1.3.8
total_10102915	9.A.34.1.1
total_1010292	9.A.34.1.1
total_1010301	3.A.1.11.3
total_1010302	3.A.1.11.3
total_10104644	3.A.1.2.8
total_10104957	2.A.1.6.6
total_10105577	3.A.1.7.2
total_10106407	3.A.6.2.1
total_10106888	3.A.1.122.2
total_10109207	1.B.4.2.1
total_10110419	3.A.1.5.12
total_10110420	3.A.1.5.15
total_10112519	3.A.1.1.10
total_10114547	3.A.1.5.22
total_10114692	3.A.1.11.2
total_10115164	3.A.1.5.20
total_10116491	3.D.3.3.1
total_1011652	2.A.6.1.4
total_1011733	3.A.1.1.6
total_10117434	3.A.1.12.6
total_10117440	3.A.1.11.6
total_10118935	3.A.2.1.2
total_10120590	3.A.1.27.3
total_10120957	3.A.1.5.22
total_10120991	3.A.1.3.8
total_10121948	3.A.1.6.1
total_10122420	9.B.24.2.2
total_10123286	3.A.1.19.1
total_1012499	9.A.34.2.1
total_1012500	9.A.34.2.1
total_10125506	3.A.1.5.20
total_10126650	9.B.24.2.2
total_10128770	3.A.1.7.2
total_1013026	3.A.1.7.1
total_10130683	3.A.1.12.3
total_1013187	2.A.6.1.4
total_10132907	1.B.42.1.2
total_10133194	3.A.1.7.1
total_10134265	3.A.1.5.27
total_10134719	3.A.1.5.21
total_10135120	3.A.15.2.1
total_10135904	3.A.6.2.1
total_10137051	3.A.1.4.1
total_10137421	3.A.1.1.8
total_10137704	3.A.1.27.1
total_10137955	3.A.6.3.1
total_10141330	2.A.53.9.2
total_10142258	3.A.1.6.1
total_10143496	2.A.55.2.4
total_10143514	3.A.15.2.1
total_10143703	5.B.5.1.1
total_1014561	3.A.6.2.1
total_10148560	3.A.1.11.1
total_1014873	3.D.1.3.1
total_1014926	3.A.1.210.9
total_10149843	3.A.1.122.8
total_10149991	3.A.7.4.1
total_1015048	3.A.1.3.19
total_1015152	3.A.1.1.23
total_1015231	3.A.1.5.20
total_10155563	3.A.1.7.1
total_10157642	9.A.34.1.1
total_1015852	3.A.1.5.27
total_10162744	3.A.1.120.6
total_10163055	3.A.1.2.4
total_10163313	3.A.1.11.2
total_10165910	3.A.1.11.2
total_10165911	3.A.1.11.2
total_10166399	3.D.1.6.3
total_10167405	9.B.34.1.1
total_10168118	3.A.1.17.5
total_10169009	3.A.1.5.11
total_10169815	3.A.1.1.32
total_10169816	3.A.1.1.32
total_10170075	3.A.1.11.6
total_10170534	3.A.1.1.10
total_1017239	2.A.1.3.26
total_10172501	3.A.1.3.11
total_1017327	3.A.1.1.3
total_1017328	3.A.1.1.3
total_1017329	3.A.1.1.3
total_10173357	9.B.42.1.1
total_10173919	8.A.9.1.1
total_10173950	3.A.1.7.1
total_10174242	3.A.1.16.1
total_10179238	2.A.56.1.1
total_10180819	3.A.1.3.8
total_10181089	2.A.23.1.3
total_10181568	3.A.1.12.10
total_10181569	3.A.1.12.11
total_1018212	2.A.20.1.1
total_10184895	3.A.1.5.12
total_10186792	3.A.1.16.1
total_1018736	3.A.1.1.3
total_10187502	3.A.1.5.2
total_10189028	3.A.1.3.5
total_10189276	3.D.1.2.1
total_10191	3.A.1.8.1
total_1019204	1.B.42.1.2
total_10193240	3.A.1.5.20
total_10194425	3.A.1.1.24
total_10195191	9.B.24.2.2
total_10196941	3.A.1.1.24
total_10196986	3.A.1.103.1
total_10197156	3.A.1.4.2
total_10206081	3.A.1.11.2
total_10207702	3.A.7.15.1
total_10208196	3.A.1.1.5
total_10208652	3.A.7.15.1
total_10210436	9.B.14.2.3
total_10211721	3.A.1.11.3
total_10212348	3.A.1.14.19
total_10212988	3.A.1.17.1
total_10214551	3.A.7.4.1
total_10215708	3.A.1.4.4
total_1021661	3.A.1.11.1
total_1021662	3.A.1.11.1
total_1021663	3.A.1.11.2
total_10217204	5.A.3.2.1
total_10217205	5.A.3.2.1
total_1021875	1.A.30.2.2
total_10218876	3.A.1.3.4
total_10218878	3.A.1.3.19
total_10220321	3.A.1.11.6
total_1022092	3.A.1.8.1
total_10221633	3.A.1.1.5
total_1022169	2.A.21.3.2
total_1022171	3.D.4.6.1
total_10225107	2.A.1.14.3
total_10226866	9.A.40.1.2
total_10226873	4.C.1.1.4
total_10229444	2.A.80.1.1
total_1022951	3.A.1.14.5
total_1023186	3.A.1.27.1
total_10233108	3.A.1.16.1
total_10233589	3.A.1.15.4
total_10235276	8.A.4.2.1
total_10235278	3.A.1.101.1
total_10235595	3.A.1.1.5
total_10237723	3.A.1.3.19
total_10239906	3.A.1.131.1
total_1024064	3.A.1.34.1
total_1024189	3.A.1.5.27
total_1024190	3.A.1.5.2
total_10242751	3.A.1.4.1
total_1024478	3.A.1.1.12
total_10247031	3.A.1.5.24
total_10247032	3.A.1.5.24
total_10247033	3.A.1.5.21
total_10247049	3.A.7.15.1
total_1024827	3.A.1.20.1
total_10250981	3.A.1.3.10
total_10251176	3.B.1.1.2
total_10251468	3.A.1.5.20
total_10255221	2.A.80.1.1
total_10255399	3.A.1.1.32
total_10255585	3.A.1.11.2
total_10259653	3.A.1.4.6
total_10260589	3.A.7.15.1
total_10261766	2.A.63.1.1
total_10261767	2.A.63.1.1
total_10261768	2.A.63.1.1
total_10261769	2.A.63.1.1
total_10261771	2.A.63.1.1
total_10262792	3.A.1.7.1
total_10262793	3.A.1.7.1
total_10263174	1.B.42.1.2
total_10264577	3.A.1.5.2
total_10264628	2.A.1.8.8
total_10264697	3.B.1.1.2
total_10264752	3.A.1.120.5
total_10265697	3.A.1.107.1
total_1026851	9.A.34.1.1
total_1026852	9.A.34.1.1
total_10270062	3.A.1.1.16
total_10271886	3.A.1.5.19
total_1027284	9.B.14.2.2
total_10276303	3.A.1.11.6
total_10276936	3.A.1.2.4
total_10279996	3.A.1.27.3
total_10282461	3.A.1.24.1
total_10282462	3.A.1.24.2
total_10282463	3.A.1.24.1
total_10282610	3.A.1.4.2
total_10284293	3.A.1.11.1
total_10286091	9.A.34.2.1
total_10286092	9.A.34.2.1
total_1028661	1.A.30.2.2
total_10288444	3.A.1.11.2
total_10288660	3.A.1.17.1
total_10288672	3.A.1.124.2
total_10290581	2.A.64.1.1
total_10291125	9.B.14.2.2
total_10292028	3.A.1.17.4
total_10294533	3.A.1.13.1
total_10297513	2.A.1.6.6
total_10298362	3.A.1.6.4
total_10298428	2.A.1.25.3
total_10299449	3.A.3.7.1
total_10299804	3.A.1.6.4
total_10300699	9.A.34.1.1
total_10301193	9.A.34.1.1
total_10301944	9.B.27.2.4
total_1030374	3.A.1.5.20
total_10305060	3.A.1.5.2
