Query_id	TC_number
total_10000403	3.D.4.5.1
total_10006085	3.A.5.1.1
total_10017147	2.A.6.4.1
total_10017474	2.A.6.3.1
total_10018749	3.D.2.2.1
total_10028473	1.C.82.1.1
total_10030488	3.D.3.2.1
total_10042562	3.D.1.2.1
total_10056609	3.D.3.4.1
total_10061224	1.B.12.4.1
total_10062292	3.D.4.5.1
total_10069568	1.B.12.4.1
total_10078926	3.D.1.5.1
total_10078928	3.D.1.5.1
total_10079459	1.B.12.4.1
total_10085359	3.D.4.5.1
total_10092951	9.B.24.2.2
total_10093138	2.A.6.2.4
total_10093718	3.A.5.1.1
total_10102089	3.D.2.2.1
total_10104275	3.D.2.2.1
total_10112849	3.A.5.1.1
total_10113	1.B.12.4.1
total_10116815	1.B.12.4.1
total_101187	1.A.30.2.2
total_10119314	1.B.12.4.1
total_10127128	3.A.1.14.5
total_10146024	3.D.1.2.1
total_1014618	8.A.21.2.1
total_10153980	1.C.82.1.1
total_101596	3.D.1.6.1
total_10170425	3.A.5.1.2
total_10172249	9.B.100.1.1
total_1017294	1.C.82.1.1
total_10187174	3.D.4.4.1
total_10190095	2.A.7.22.2
total_10192868	3.E.2.1.1
total_10195509	3.D.4.5.1
total_10198584	2.A.7.22.2
total_10204850	3.D.1.1.1
total_10211287	3.D.1.5.1
total_10215693	3.D.4.5.1
total_102198	1.B.12.4.1
total_10225096	3.D.2.2.1
total_10230409	3.D.1.2.1
total_10237780	2.A.53.9.2
total_10238463	1.B.12.4.1
total_10240437	3.D.1.2.1
total_10241979	3.D.1.3.1
total_10246797	3.D.1.3.1
total_10248980	3.D.1.2.1
total_10258552	1.A.22.1.4
total_10258668	3.D.4.8.1
total_10263020	1.B.12.4.1
total_10273246	1.A.11.1.4
total_10275435	3.D.1.2.1
total_10283757	3.A.2.1.3
total_10283771	3.D.1.5.1
total_10283773	3.D.1.6.1
total_10284417	4.A.1.1.7
total_1029824	8.A.21.2.1
total_10308322	3.A.5.1.1
total_10310727	1.A.24.1.1
total_1031355	3.D.2.2.1
total_10318390	3.D.1.6.1
total_10321934	3.D.4.5.1
total_10324031	3.D.9.1.1
total_1032765	1.B.12.4.1
total_10328577	8.A.21.2.1
total_10346323	3.A.12.1.1
total_10357562	1.B.12.4.1
total_10358495	2.A.1.3.8
total_10365356	1.C.82.1.1
total_103662	3.A.5.1.1
total_10368201	8.A.21.2.1
total_10370217	1.B.12.4.1
total_10370551	1.B.12.4.1
total_10375940	3.D.1.3.1
total_1037880	1.C.82.1.1
total_10379908	4.A.1.1.7
total_10383525	1.C.82.1.1
total_1038444	1.C.82.1.1
total_10389524	3.A.2.1.2
total_10390954	3.D.4.5.1
total_10390955	3.D.4.5.1
total_10392326	1.B.33.1.3
total_10393976	8.A.21.2.1
total_10401963	3.A.1.132.3
total_10402798	3.D.1.6.1
total_10402799	3.D.1.5.1
total_10405750	3.D.1.2.1
total_10411636	9.B.100.1.1
total_10412289	3.D.2.2.1
total_10417615	3.A.5.1.1
total_10419873	3.D.1.6.1
total_1042007	3.D.3.2.1
total_104215	1.A.30.2.2
total_10423596	3.A.5.1.1
total_10434871	1.A.30.2.2
total_10444248	3.D.1.2.1
total_10444504	2.A.72.1.1
total_10447562	3.D.1.6.1
total_10450185	3.D.1.6.1
total_10450383	3.D.3.1.1
total_10453982	3.A.2.1.1
total_10465371	3.D.2.2.1
total_10471082	3.D.2.2.1
total_10472469	3.D.4.6.1
total_10475713	3.D.1.3.1
total_10485468	1.B.33.1.3
total_10487393	2.A.6.2.9
total_1049665	3.D.2.2.1
total_10497958	3.D.4.5.1
total_10498206	3.B.1.1.3
total_10507200	1.B.33.1.3
total_10514060	1.A.24.1.1
total_10525808	1.B.12.4.1
total_10526981	3.D.1.2.1
total_10527549	3.D.1.6.1
total_10527551	3.D.1.6.1
total_10533195	3.D.1.5.1
total_10536523	3.A.5.1.1
total_1054750	3.D.1.2.1
total_10568426	3.D.1.6.1
total_10569195	1.B.33.1.3
total_10571774	1.B.33.1.3
total_10581832	3.A.15.2.1
total_10582967	3.A.2.1.3
total_10588475	1.C.82.1.1
total_10595787	2.A.1.67.1
total_10598003	3.A.5.1.1
total_10599786	3.D.1.3.1
total_10606858	3.A.15.3.1
total_1061018	1.C.82.1.1
total_10616512	3.D.1.2.1
total_10620669	3.D.1.2.1
total_10623092	1.B.33.1.3
total_10629732	3.D.2.2.1
total_10629787	1.C.82.1.1
total_10643587	3.B.1.1.5
total_10648590	1.B.12.4.1
total_10661986	2.A.96.1.2
total_10662089	3.D.1.2.1
total_10666518	3.A.10.2.1
total_10676618	1.C.82.1.1
total_10677938	9.B.3.1.3
total_10682754	3.D.1.6.1
total_10687618	3.D.4.5.1
total_10688314	3.A.1.11.1
total_10692949	3.A.5.2.2
total_10695956	1.C.82.1.1
total_10696029	1.C.82.1.1
total_10699820	3.A.5.1.1
total_10703574	9.B.100.1.1
total_10714144	1.C.82.1.1
total_10734199	3.D.4.5.1
total_10741035	1.B.12.4.1
total_10743783	3.D.3.1.1
total_1074472	3.A.15.1.1
total_10748554	3.D.2.2.1
total_10750609	3.A.5.1.1
total_1075105	1.B.33.1.3
total_10756656	1.C.82.1.1
total_10762946	4.C.1.1.4
total_1076772	3.D.1.2.1
total_10782819	3.A.2.1.1
total_10789956	3.A.5.1.1
total_10799080	3.D.1.5.1
total_10799448	8.A.21.2.1
total_10800035	1.B.12.4.1
total_1080436	1.B.12.4.1
total_10806896	2.A.51.1.3
total_1080956	3.D.1.5.1
total_10814975	3.D.1.5.1
total_10820615	3.A.2.1.3
total_10827875	3.D.1.2.1
total_10828672	1.C.82.1.1
total_10830096	3.D.1.3.1
total_10832919	9.B.3.1.2
total_10834223	3.D.4.7.1
total_10834293	1.C.82.1.1
total_10836617	3.D.1.2.1
total_10840168	3.D.2.2.1
total_10850658	3.D.4.4.1
total_10853612	3.A.2.1.2
total_10854430	1.B.33.1.3
total_10864164	8.A.21.2.1
total_10864642	3.D.1.2.1
total_10868553	2.A.6.4.1
total_10868662	3.D.4.5.1
total_10876661	3.D.4.5.1
total_10886554	3.D.1.2.1
total_10886559	3.D.1.5.1
total_10886560	3.D.9.1.1
total_1088772	3.D.1.2.1
total_10893778	3.D.2.2.1
total_10894702	2.A.96.1.1
total_10894935	1.B.12.4.1
total_10905573	3.A.5.2.2
total_10915329	1.C.82.1.1
total_1091628	2.A.6.4.1
total_10921166	8.A.21.2.1
total_10926203	8.A.21.2.1
total_10926612	3.D.1.6.2
total_10935068	3.D.1.2.1
total_1093752	4.A.1.1.5
total_10960367	1.C.82.1.1
total_10964510	1.A.24.1.1
total_10966589	3.D.4.4.1
total_1097352	1.C.82.1.1
total_10997832	9.B.18.1.1
total_10998725	1.B.12.4.1
total_10999056	3.A.5.2.2
total_11000626	9.B.18.1.1
total_11000898	2.A.6.2.18
total_11006680	1.B.33.1.3
total_11017157	1.A.24.1.1
total_11020517	1.B.12.4.1
total_11020897	3.D.4.4.1
total_11020990	3.D.1.2.1
total_1103389	8.A.21.2.1
total_11064466	1.C.82.1.1
total_1106688	1.B.33.1.3
total_11069562	8.A.21.2.1
total_11072173	3.B.1.1.5
total_11078671	1.C.82.1.1
total_11088412	3.D.1.2.1
total_11089290	1.C.82.1.1
total_1109041	2.A.64.3.1
total_11093142	3.D.1.3.1
total_11093143	3.D.1.6.2
total_11093144	3.D.1.3.1
total_11094047	1.C.82.1.1
total_11094574	9.A.40.1.2
total_11097481	3.D.1.2.1
total_11097482	3.D.1.2.1
total_11114375	9.B.18.1.1
total_111202	1.B.33.1.3
total_11120771	3.D.1.2.1
total_11122473	3.A.2.1.2
total_11123405	3.A.2.1.2
total_11127329	1.B.12.4.1
total_11134727	8.A.21.2.1
total_11150657	1.C.82.1.1
total_11164863	9.B.76.1.1
total_11166428	3.D.2.1.1
total_11170925	2.A.7.22.2
total_1117275	9.A.58.2.5
total_11180828	3.D.4.5.1
total_11183799	1.B.12.4.1
total_11186937	9.B.3.1.2
total_11187714	3.D.4.5.1
total_11204089	1.B.33.1.3
total_11205950	3.D.1.1.1
total_11207369	3.D.4.5.1
total_11208415	1.C.82.1.1
total_11217287	3.D.1.2.1
total_11219247	3.D.1.6.3
total_11223201	3.D.4.5.1
total_11223995	1.C.82.1.1
total_11227475	3.A.2.1.1
total_11244527	1.B.12.4.1
total_1126309	3.D.1.2.1
total_11263586	3.A.15.2.1
total_11265943	3.D.2.2.1
total_11269844	3.D.1.6.2
total_11269845	3.D.1.5.1
total_11269905	3.D.2.2.1
total_11269906	3.D.2.2.1
total_1127636	3.D.2.2.1
total_11280494	3.D.1.2.1
total_11281535	8.A.21.2.1
total_11294483	9.A.10.2.1
total_1129864	3.D.2.2.1
total_11302778	3.A.5.2.2
total_1130395	2.A.64.1.1
total_11310214	1.C.82.1.1
total_11311898	3.D.1.2.1
total_11317919	1.C.82.1.1
total_1132052	2.A.55.2.4
total_1132359	3.A.5.1.1
total_11324614	3.D.4.4.1
total_11325505	3.D.4.4.1
total_11328305	3.D.2.2.1
total_11336427	2.A.23.1.2
total_11337753	1.B.12.4.1
total_1134245	3.D.2.2.1
total_11351736	3.D.1.3.1
total_1135248	3.A.2.1.3
total_1135249	3.A.2.1.3
total_11355931	3.D.3.3.1
total_11374409	3.D.3.4.1
total_11376048	3.A.1.125.3
total_11382188	3.D.1.2.1
total_11382537	3.D.1.6.1
total_11383310	3.D.2.2.1
total_11388610	1.B.12.4.1
total_113912	3.D.2.2.1
total_1140366	1.B.33.1.4
total_11407993	1.B.12.4.1
total_1140905	1.B.12.4.1
total_1140906	1.B.12.4.1
total_11412387	1.C.82.1.1
total_11412417	1.B.12.4.1
total_11419030	1.B.12.4.1
total_11423701	4.A.1.1.5
total_11431117	1.A.22.1.3
total_11437137	1.B.12.4.1
total_114453	2.A.64.1.1
total_1144743	3.D.1.7.1
total_11449717	2.A.7.22.2
total_11458612	1.B.33.1.3
total_1146487	3.D.4.8.1
total_1146488	3.D.4.7.1
total_11464998	1.B.12.4.1
total_11466754	3.D.1.2.1
total_11474155	8.A.21.2.1
total_11478515	8.A.21.2.1
total_11483335	1.B.12.4.1
total_11498096	3.A.5.2.2
total_11498099	8.A.21.2.1
total_11499795	3.D.1.2.1
total_11500193	3.D.1.5.1
total_11504261	3.D.1.2.1
total_11505714	3.D.1.3.1
total_11505715	3.D.1.5.1
total_11507211	3.D.1.6.3
total_11509718	9.B.100.1.1
total_11514553	3.D.1.2.1
total_11516749	1.B.12.4.1
total_11519294	1.B.12.4.1
total_11532252	3.D.4.6.1
total_11544569	1.B.33.1.3
total_11552830	4.A.1.1.7
total_11559911	3.D.4.6.1
total_11575094	8.A.21.2.1
total_11576296	9.B.18.1.1
total_11584750	1.A.11.1.4
total_11585070	2.A.64.1.1
total_11588850	9.A.34.2.1
total_11589249	1.B.12.4.1
total_11598372	1.B.12.4.1
total_11598386	1.B.33.1.3
total_11605097	1.B.33.1.3
total_1163106	3.A.3.5.15
total_1163427	8.A.21.2.1
total_11638942	3.D.1.3.1
total_11644065	1.A.24.1.1
total_11645466	3.D.1.6.1
total_1165241	4.A.1.1.7
total_11653412	1.C.82.1.1
total_11657362	3.D.4.5.1
total_11663806	3.D.4.4.1
total_11664411	3.D.1.5.1
total_11664412	3.D.1.3.1
total_11670013	2.A.72.1.1
total_11672420	1.B.12.4.1
total_11675828	3.D.1.5.1
total_11684796	3.D.4.6.1
total_1168869	1.B.12.4.1
total_11690251	3.D.2.2.1
total_1169885	8.A.21.2.1
total_11700505	3.D.1.6.1
total_11701211	3.D.1.6.4
total_11708127	9.B.3.1.2
total_1171822	2.A.6.2.23
total_11728663	2.A.1.67.1
total_11732877	3.A.1.122.2
total_1173389	1.B.12.4.1
total_11742638	8.A.21.2.1
total_11744295	9.B.3.1.1
total_1174441	1.C.82.1.1
total_11746579	3.B.1.1.5
total_11754618	1.C.82.1.1
total_11761146	3.D.1.2.1
total_11762124	8.A.21.2.1
total_11773972	1.B.33.1.3
total_11778819	3.D.1.3.1
total_11779882	2.A.64.1.1
total_1179928	3.D.1.2.1
total_11800944	1.B.33.1.3
total_11819133	8.A.21.2.1
total_11820218	3.D.1.3.1
total_11820220	3.D.1.3.1
total_1182033	1.A.8.10.1
total_11823646	9.B.100.1.1
total_11829225	1.C.82.1.1
total_11832035	2.A.89.3.1
total_11834687	3.A.2.1.3
total_11846077	3.A.5.1.1
total_11847849	3.A.2.1.2
total_11853887	8.A.21.2.1
total_11855763	1.B.12.4.1
total_11856016	3.D.9.1.1
total_1185966	2.A.6.2.4
total_11860192	3.D.1.2.1
total_11865416	2.A.7.22.2
total_11871999	3.A.5.1.1
total_11877039	3.E.2.1.1
total_11881299	3.A.15.2.1
total_11882298	1.C.82.1.1
total_11884337	3.D.1.2.1
total_11884560	3.D.1.5.1
total_1190252	3.D.1.5.1
total_11907649	4.A.1.1.5
total_11915302	3.D.3.2.1
total_11920504	3.A.5.2.2
total_11926438	3.D.1.5.1
total_1194353	3.A.2.1.2
total_11948377	4.A.1.1.7
total_11949009	3.D.1.2.1
total_11950829	2.A.1.3.29
total_11954647	3.A.5.1.1
total_11959727	9.B.100.1.1
total_11965416	1.B.12.4.1
total_11966681	2.A.6.4.1
total_11969614	3.D.1.2.1
total_11969821	3.A.2.1.1
total_11975503	3.D.1.2.1
total_11989043	3.D.1.1.1
total_11997355	2.A.1.3.34
total_12000171	1.A.12.3.1
total_1201220	3.D.4.5.1
total_12021189	8.A.21.2.1
total_12026452	1.B.33.1.3
total_12035022	8.A.21.2.1
total_12039049	3.A.5.1.1
total_12042372	1.C.82.1.1
total_12044715	3.D.1.6.3
total_12059044	2.A.6.4.1
total_12064234	1.A.24.1.1
total_12069508	3.D.3.4.1
total_12073837	1.B.33.1.3
total_12077769	9.B.18.1.1
total_12094908	3.D.1.2.1
total_12095438	8.A.21.2.1
total_1210167	2.A.7.22.2
total_12111324	1.A.24.1.1
total_12111325	3.D.3.1.1
total_12118225	3.A.5.1.1
total_12121512	3.D.1.6.1
total_12122329	3.D.1.2.1
total_12125013	3.D.1.3.1
total_12126919	1.B.33.1.3
total_12128953	1.A.8.15.1
total_121312	1.B.12.4.1
total_12133666	3.A.2.1.2
total_12137615	1.B.33.1.3
total_12153664	3.A.5.1.1
total_12178216	3.A.1.122.2
total_12194738	8.A.21.2.1
total_12195832	3.A.15.3.1
total_12197500	1.B.12.4.1
total_1220137	1.B.33.1.4
