Query_id	TC_number
total_10001357	3.A.1.125.1
total_10002315	3.A.7.15.1
total_10005438	2.A.1.6.6
total_10006954	3.A.1.8.1
total_10007075	2.A.6.1.4
total_10007166	9.B.14.2.2
total_10007605	3.A.1.3.4
total_10008437	3.A.1.27.1
total_10008486	3.A.1.5.22
total_10009178	3.A.1.109.1
total_1001006	2.A.1.59.2
total_10013974	3.A.1.120.5
total_10015436	3.A.1.11.1
total_1001657	3.A.1.105.3
total_10018867	2.A.1.6.2
total_10021194	3.A.1.7.1
total_10021195	3.A.1.7.1
total_10023457	1.B.42.1.2
total_10024472	3.A.1.27.5
total_10024473	3.A.1.27.1
total_10026387	3.A.1.4.6
total_10026649	3.A.1.27.1
total_10026650	3.A.1.27.1
total_10027970	3.A.1.2.1
total_10028045	3.A.1.2.7
total_1002843	1.B.42.1.2
total_10030164	3.A.1.12.3
total_10032324	3.A.1.4.6
total_10034315	3.A.1.12.10
total_10034844	3.A.1.11.2
total_10037440	3.A.1.27.4
total_10037595	3.D.1.5.1
total_10040105	3.A.1.3.2
total_1004106	3.A.1.7.1
total_1004107	3.A.1.7.1
total_10041667	3.A.1.4.1
total_10048387	3.A.6.2.1
total_10048921	3.A.1.27.3
total_10048922	3.A.1.27.3
total_10050065	3.A.1.1.24
total_10053153	3.A.1.2.7
total_10054070	3.A.1.110.3
total_10056634	3.A.1.5.20
total_1005843	2.A.1.35.1
total_10059002	2.A.1.14.3
total_10060269	3.A.1.4.1
total_10060409	3.A.1.2.5
total_10063128	3.A.1.120.5
total_10064541	3.A.1.3.9
total_10066354	3.A.1.1.10
total_10066440	2.A.1.14.25
total_10066576	3.A.1.8.1
total_10067024	3.A.1.5.20
total_10073195	3.A.1.110.3
total_10073656	3.A.1.15.6
total_10074523	2.A.23.1.2
total_10075035	3.A.1.2.2
total_10075046	3.A.1.5.24
total_10075381	3.A.1.1.10
total_10075569	3.A.1.5.4
total_1007695	3.A.1.11.6
total_10079603	3.A.1.27.1
total_10081062	3.A.1.141.1
total_1008251	3.A.1.1.32
total_1008252	3.A.1.1.32
total_1008284	5.A.3.4.1
total_10086002	2.A.7.22.2
total_10086242	3.A.15.2.1
total_10086386	3.A.1.1.33
total_10090562	3.A.1.5.20
total_10090563	3.A.1.5.20
total_10091207	3.A.1.2.7
total_10091495	3.A.1.11.1
total_10092676	3.A.1.7.1
total_10093510	3.D.4.5.1
total_10093511	3.D.4.5.1
total_10093850	3.A.1.11.2
total_10097281	2.A.23.1.6
total_10097704	3.A.1.105.1
