Query_id	TC_number
total_10011434	9.B.42.1.1
total_10022589	3.A.6.3.1
total_10025203	9.A.34.2.1
total_10028473	1.C.82.1.1
total_10064197	1.B.33.1.4
total_10086242	3.A.15.2.1
total_10111718	3.A.15.2.1
total_10112849	3.A.5.1.1
total_1011652	2.A.6.1.4
total_1013187	2.A.6.1.4
total_10137955	3.A.6.3.1
total_10156319	3.A.15.2.1
total_10156981	3.A.15.1.1
total_10162973	9.A.34.2.1
total_10173357	9.B.42.1.1
total_10195191	9.B.24.2.2
total_102227	9.A.4.2.1
total_10233108	3.A.1.16.1
total_10246120	3.A.6.2.1
total_10278774	3.A.15.2.1
total_10289432	3.A.6.2.1
total_10300699	9.A.34.1.1
total_10318061	9.A.34.2.1
total_10337465	9.A.34.2.1
total_1034960	9.A.4.1.2
total_10364938	9.A.34.2.1
total_10373123	3.A.6.2.1
total_10380043	9.A.34.2.1
total_10380044	9.A.34.2.1
total_10396273	9.A.34.2.1
total_10405898	9.B.42.1.1
total_104085	1.B.22.2.1
total_1041147	3.A.6.2.1
total_10432161	9.A.41.1.1
total_10437921	2.A.56.1.1
total_10446430	3.A.6.3.1
total_1052389	3.A.15.2.1
total_10525126	9.A.34.2.1
total_10529329	9.A.34.2.1
total_10547513	3.A.6.3.1
total_10549280	2.A.6.4.1
total_10554307	1.A.8.12.1
total_10591657	3.A.6.2.1
total_10592384	3.A.6.3.1
total_10613802	2.A.6.2.39
total_10648590	1.B.12.4.1
total_10652806	3.A.6.2.1
total_10660080	9.A.4.2.1
total_10676125	3.A.15.2.1
total_10677011	3.A.15.2.1
total_10684492	3.A.1.122.8
total_10686866	9.A.34.2.1
total_10689211	2.A.21.3.2
total_10689778	9.A.41.1.1
total_10721352	3.A.6.3.1
total_10732858	3.A.15.2.1
total_1075499	9.A.34.2.1
total_1075500	9.A.34.2.1
total_10762946	4.C.1.1.4
total_10785073	3.A.6.2.1
total_10795022	3.A.6.2.1
total_10804454	4.A.1.1.5
total_1080536	3.A.15.1.1
total_10806746	2.A.56.3.1
total_10828675	1.A.30.1.1
total_10834867	8.A.21.2.1
total_10839379	3.A.6.2.1
total_10846356	9.A.41.1.1
total_10851130	3.A.6.3.1
total_10855476	9.A.34.2.1
total_10879517	3.A.3.7.1
total_10879518	3.A.3.7.1
total_10883980	2.A.3.11.1
total_10922952	2.A.72.1.1
total_10924906	3.A.6.1.1
total_10926671	3.A.6.2.1
total_1093752	4.A.1.1.5
total_10946238	3.A.6.2.1
total_10984589	3.A.15.2.1
total_1099375	9.A.34.2.1
total_11005889	9.A.34.1.1
total_11013114	2.A.80.1.1
total_1103389	8.A.21.2.1
total_1104023	3.A.15.2.1
total_11043740	2.A.80.1.1
total_11054455	2.A.37.5.2
total_11075450	3.A.15.2.1
total_11075741	3.D.1.5.1
total_1107874	3.A.11.2.2
total_11089707	3.A.15.2.1
total_110962	3.D.1.5.1
total_11100624	2.A.80.1.1
total_11106808	3.A.1.122.2
total_11130690	3.A.6.2.1
total_11192692	3.A.1.105.4
total_11220038	9.A.34.1.1
total_11233472	2.A.23.1.3
total_1123735	3.A.6.3.1
total_1127008	3.A.7.15.1
total_11282737	9.A.34.2.1
total_11282743	9.A.34.2.1
total_11289691	9.A.34.2.1
total_1128988	9.B.24.2.2
total_1131201	3.A.6.2.1
total_11323041	9.A.34.1.1
total_11339115	3.A.6.3.1
total_1134069	3.A.6.2.1
total_1134071	3.A.6.2.1
total_11364279	5.A.3.6.1
total_113748	9.A.34.1.1
total_11375185	3.A.1.125.3
total_11416448	3.A.6.3.1
total_11423701	4.A.1.1.5
total_11452116	1.A.30.1.1
total_11463896	3.A.15.2.1
total_1147575	2.A.6.4.1
total_11481150	9.A.34.1.1
total_114905	3.A.6.2.1
total_115047	3.A.11.1.2
total_11505980	3.A.6.2.1
total_11506959	3.A.6.3.1
total_11506962	3.A.6.2.1
total_11511398	2.C.1.2.1
total_11523098	2.A.80.1.1
total_11552830	4.A.1.1.7
total_1155969	9.B.14.2.2
total_11583991	3.A.15.2.1
total_1159172	3.A.6.2.1
total_11597852	3.A.6.3.1
total_11598861	3.A.6.1.1
total_11643441	3.A.6.2.1
total_1164498	2.A.23.1.3
total_11650927	1.A.30.1.5
total_11679862	9.A.34.1.1
total_11722149	3.A.6.2.1
total_1174003	3.A.6.2.1
total_11744295	9.B.3.1.1
total_11754133	1.B.22.2.1
total_11768432	3.A.6.3.1
total_1177681	3.A.6.2.1
total_1177684	3.A.6.3.1
total_11873651	9.B.42.1.1
total_11896468	1.A.30.1.1
total_11935934	3.A.6.1.1
total_11965412	2.A.23.1.6
total_11968905	9.B.3.1.3
total_11977760	3.A.6.2.1
total_11988151	9.A.34.1.1
total_11999439	1.A.33.1.2
total_12014579	3.A.6.2.1
total_12043044	3.A.15.2.1
total_12059044	2.A.6.4.1
total_1208559	2.A.6.1.4
total_12099064	3.A.15.2.1
total_12099977	3.A.6.1.1
total_1210366	3.A.6.2.1
total_12141489	2.A.7.22.2
total_12154080	3.A.6.2.1
total_12216037	9.B.42.1.1
total_1222008	2.A.37.2.4
total_12224745	1.B.17.1.1
total_12263531	3.A.15.2.1
total_12280892	9.B.3.1.2
total_12293198	1.B.12.4.1
total_12310770	9.A.34.2.1
total_1231880	3.A.6.2.1
total_12329881	2.A.80.1.1
total_12356250	3.A.15.2.1
total_1236992	8.A.21.2.1
total_12388819	3.A.5.2.2
total_12395361	3.A.1.103.1
total_12410553	3.A.5.2.2
total_1243014	3.A.6.2.1
total_12461214	9.B.42.1.1
total_12506260	9.B.42.1.1
total_1250703	5.A.3.11.2
total_12514402	9.A.34.2.1
total_12527305	3.A.15.2.1
total_12541271	2.A.7.22.2
total_12556606	3.A.6.1.1
total_1256744	9.B.10.1.1
total_12584163	3.A.5.1.1
total_1258912	3.A.1.103.1
total_12604119	3.A.1.132.3
total_12617974	3.A.6.2.1
total_12624742	1.B.22.2.1
total_12628154	9.A.4.2.1
total_12739397	3.A.15.2.1
total_12769909	3.A.6.2.1
total_1277861	3.D.2.2.1
total_12782491	9.A.41.1.1
total_12789947	9.A.34.2.1
total_12796790	3.A.15.2.1
total_1280305	9.A.34.2.1
total_12821462	8.A.21.2.1
total_1286293	2.A.6.1.4
total_12918018	3.D.1.5.1
total_12921756	3.A.15.2.1
total_12932818	3.A.15.2.1
total_1294122	9.A.34.2.1
total_12952623	2.A.23.1.3
total_1295528	3.A.15.2.1
total_12971273	1.A.33.1.3
total_12998809	9.B.10.1.1
total_13000200	3.A.11.2.1
total_13002947	9.A.34.2.1
total_13012910	3.A.15.2.1
total_13028120	8.A.21.2.1
total_13057465	3.A.15.1.1
total_13066890	2.A.64.1.1
total_1310415	1.B.33.1.3
total_13112514	9.A.41.1.1
total_13117801	3.A.1.125.2
total_13121370	1.A.30.1.5
total_13150501	3.A.6.2.1
total_1315747	1.B.22.4.2
total_13163590	3.A.6.2.1
total_13175031	2.A.1.3.2
total_1318064	9.A.34.2.1
total_1318792	4.C.1.1.4
total_13188653	3.A.6.2.1
total_13218484	3.A.15.1.1
total_13246559	3.A.6.2.1
total_1325387	1.A.33.1.2
total_1326364	3.A.11.2.2
total_13271782	3.A.6.2.1
total_1330039	2.A.89.3.1
total_13316144	3.A.5.1.1
total_1336448	3.A.6.2.1
total_1336456	3.A.6.1.1
total_13365726	1.A.33.1.2
total_13377009	3.A.6.2.1
total_13384840	4.A.1.1.5
total_13385310	3.A.6.2.1
total_13390020	9.A.40.1.2
total_13405779	9.A.34.2.1
total_13427749	2.A.96.1.2
total_1343045	3.A.6.2.1
total_13450974	3.A.6.2.1
total_13451914	3.A.15.2.1
total_13453506	3.A.6.1.1
total_13466552	3.A.15.2.1
total_1350271	2.A.6.2.9
total_13513136	3.D.2.1.1
total_13540055	2.A.80.1.1
total_13544145	9.A.34.1.1
total_1355939	9.B.10.1.1
total_13568402	3.A.6.2.1
