Query_id	tax
total_10000403	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10002840	k__Bacteria
total_10008661	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_1000957	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10010104	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10010184	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces
total_10011293	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10011767	k__Bacteria
total_10012408	k__Bacteria;p__Proteobacteria
total_10016201	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_100170	k__Bacteria
total_1001852	k__Bacteria;p__Actinobacteria
total_10019318	k__Bacteria
total_10022183	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10022336	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10022792	k__Bacteria
total_10023975	k__Bacteria
total_10026619	k__Bacteria;p__Proteobacteria
total_10026843	k__Bacteria;p__Bacteroidetes
total_1002871	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10029213	Unclassified
total_10029429	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10030488	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10031314	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10031699	k__Bacteria
total_10031700	k__Bacteria
total_10031918	k__Bacteria
total_10032858	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales
total_10032916	k__Bacteria
total_10033612	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_10036032	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10036614	k__Bacteria
total_10037848	k__Bacteria
total_1003890	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales
total_1003891	k__Bacteria
total_10038930	k__Bacteria
total_10039374	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae
total_1004157	k__Bacteria
total_10042606	k__Bacteria
total_10043146	k__Bacteria;p__Actinobacteria
total_10043474	k__Bacteria;p__Actinobacteria
total_10043509	k__Bacteria
total_1004382	k__Bacteria;p__Actinobacteria
total_10047157	k__Archaea;p__Thaumarchaeota
total_10047333	k__Bacteria
total_10047334	k__Bacteria
total_10047357	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_10050074	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10052243	k__Bacteria;p__Proteobacteria
total_10053239	k__Bacteria;p__Proteobacteria
total_10054225	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10056610	k__Bacteria
total_1005662	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10057403	k__Bacteria;p__Proteobacteria
total_10057513	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales
total_10059890	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10067227	k__Bacteria;p__Actinobacteria
total_1006996	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10070391	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria
total_1007177	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium
total_10072817	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10072857	k__Bacteria;p__Proteobacteria
total_100757	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales
total_10076345	k__Bacteria;p__Actinobacteria
total_10078025	k__Archaea;p__Thaumarchaeota
total_10078072	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10078251	k__Bacteria
total_10079163	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales
total_10084029	k__Bacteria
total_10085359	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10085360	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10085396	k__Bacteria
total_10086541	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10089249	k__Bacteria
total_10089647	k__Archaea
total_10091614	Unclassified
total_10093133	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_1009718	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10098365	k__Bacteria;p__Actinobacteria
total_10098682	Unclassified
total_10101031	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10101281	k__Bacteria
total_10101364	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10103054	Unclassified
total_10103261	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria
total_10104966	k__Bacteria;p__Actinobacteria
total_10107009	k__Bacteria
total_10107018	k__Bacteria;p__Bacteroidetes
total_10107035	k__Bacteria;p__Bacteroidetes
total_10107046	k__Bacteria;p__Bacteroidetes
total_10107048	k__Bacteria
total_10108544	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10109324	Unclassified
total_10109326	k__Bacteria
total_10109328	k__Bacteria;p__Actinobacteria
total_10109340	k__Bacteria
total_10111070	k__Bacteria
total_10111374	k__Archaea
total_10111641	k__Bacteria
total_10116871	k__Bacteria
total_10118394	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10118399	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_1012020	k__Archaea;p__Thaumarchaeota
total_1012361	k__Bacteria;p__Actinobacteria
total_10127940	k__Bacteria
total_10128879	k__Bacteria
total_1013003	k__Bacteria
total_10130609	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales
total_10131441	k__Bacteria
total_1013425	k__Bacteria
total_1013495	k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae
total_10137308	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10138263	k__Bacteria;p__Proteobacteria
total_10140136	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10140794	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10142087	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas_sp._URHD0057
total_10142621	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10142809	k__Bacteria
total_10145217	k__Bacteria;p__Bacteroidetes
total_10145294	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10147712	k__Bacteria
total_10147733	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10148304	k__Bacteria
total_10149736	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales
total_10152641	k__Bacteria;p__Proteobacteria
total_10152847	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10153121	k__Bacteria
total_10154997	k__Bacteria
total_10155149	k__Bacteria;p__Bacteroidetes
total_10155693	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_101569	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10159250	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10159590	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10160724	k__Bacteria
total_1016311	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10164364	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10165726	k__Bacteria
total_10168283	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria
total_10170403	k__Bacteria
total_1017235	k__Bacteria
total_1017426	k__Bacteria;p__Proteobacteria
total_10177072	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae
total_10180875	k__Archaea;p__Thaumarchaeota
total_10183386	k__Bacteria
total_10184972	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria
total_10186134	k__Bacteria
total_10187883	k__Bacteria;p__Proteobacteria
total_10188306	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_1018892	k__Bacteria
total_1019108	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10192868	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_1019329	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10193706	k__Archaea;p__Thaumarchaeota
total_10194495	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10195010	k__Bacteria;p__Verrucomicrobia
total_1019760	k__Eukaryota;p__Basidiomycota;c__Exobasidiomycetes;o__Ceraceosorales;f__Ceraceosoraceae;g__Ceraceosorus;s__Ceraceosorus_bombacis
total_10197824	k__Bacteria
total_101984	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10198584	Unclassified
